Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.04,1.02,6.9,20.7,15.72,15.32,20.88,8.38,6.48,5.38,4.86
Accounts Receivable,11.47,12.52,11.17,9.13,9.05,9.7,8.92,10.6,11.21,10.52,13.13
Inventory,14.13,16.3,14.14,12.49,14.71,13.32,12.31,14.23,14.05,13.5,16.59
Other Current Assets,4.94,7.16,5.49,4.61,6.9,6.11,4.32,6.7,2.84,3.49,4.57
Total Current Assets,33.59,37.0,37.7,46.93,46.38,44.45,46.43,39.92,34.59,32.89,39.16
Net PP&E,36.25,40.14,38.22,33.65,35.35,35.21,33.7,38.23,41.92,39.41,36.25
Intangibles,17.44,18.31,18.97,15.15,14.25,16.88,14.58,20.45,19.9,23.62,22.94
Other Long-Term Assets,12.72,4.55,5.11,4.27,4.02,3.46,5.3,1.41,3.59,4.08,1.66
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.25,6.86,7.83,9.61,9.52,9.3,8.61,8.56,8.87,9.46,9.36
Short-Term Debt,20.16,13.8,1.07,6.68,3.17,7.91,3.11,11.29,16.16,11.45,19.73
Taxes Payable,,,,,0.04,0.05,1.49,0.08,0.43,0.06,0.34
Accrued Liabilities,12.7,14.29,15.87,14.11,13.87,11.06,13.06,12.69,14.69,13.59,11.91
Other Short-Term Liabilities,,,,,,2.63,,1.76,1.35,,
Total Current Liabilities,38.11,34.95,24.78,30.4,26.6,30.94,26.28,34.38,41.5,34.56,41.33
Long-Term Debt,30.14,41.43,40.89,36.09,39.63,32.2,33.51,27.52,29.14,42.49,36.32
Other Long-Term Liabilities,17.79,14.87,14.73,12.4,14.53,15.06,10.26,12.25,10.69,8.72,7.79
Total Liabilities,86.04,91.25,80.4,78.88,80.76,78.2,70.05,74.15,81.33,85.77,85.44
Total Stockholders' Equity,13.96,8.75,19.6,21.12,19.24,21.8,29.95,25.85,18.67,14.23,14.56
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
