Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,30895.0,34423.0,35756.0,37937.0,55842.0,62570.0,64657.0,68775.0,74510.0,80403.0,83636.0
Gross Margin %,63.8,60.4,59.8,77.5,70.3,68.1,69.6,69.6,69.7,69.6,70.1
Operating Income USD Mil,5578.0,6732.0,7214.0,7980.0,10721.0,12179.0,13563.0,14904.0,15998.0,16859.0,18144.0
Operating Margin %,18.1,19.6,20.2,21.0,19.2,19.5,21.0,21.7,21.5,21.0,21.7
Net Income USD Mil,2587.0,2547.0,3638.0,3635.0,4160.0,6203.0,6816.0,8380.0,8163.0,8695.0,10025.0
Earnings Per Share USD,0.41,0.43,0.63,0.65,0.75,1.14,1.28,1.6,1.62,1.78,2.08
Dividends USD,,0.13,0.15,0.19,0.23,0.33,0.39,0.45,0.5,0.55,0.61
Payout Ratio % *,,29.1,23.6,29.3,31.1,28.5,31.1,27.3,30.5,31.5,29.3
Shares Mil,6384.0,5904.0,5770.0,5640.0,5556.0,5434.0,5330.0,5240.0,5036.0,4876.0,4811.0
Book Value Per Share * USD,8.16,7.02,8.72,9.15,9.72,10.37,10.48,11.41,10.61,11.28,11.86
Operating Cash Flow USD Mil,8792.0,10231.0,10281.0,11179.0,14345.0,14854.0,14160.0,16945.0,18778.0,19240.0,21212.0
Cap Spending USD Mil,-6564.0,-6277.0,-5639.0,-5497.0,-6261.0,-6637.0,-7605.0,-8542.0,-9869.0,-10821.0,-11175.0
Free Cash Flow USD Mil,2228.0,3954.0,4642.0,5682.0,8084.0,8217.0,6555.0,8403.0,8909.0,8419.0,10037.0
Free Cash Flow Per Share * USD,0.34,0.67,0.8,1.01,1.37,1.51,1.5,1.24,1.78,1.56,
Working Capital USD Mil,-4285.0,-5223.0,-4026.0,652.0,-4668.0,3277.0,-4837.0,-3879.0,-5875.0,-5174.0,
