Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.99,5.93,11.31,12.27,3.66,6.2,7.53,9.74,9.81,12.61,14.22
Accounts Receivable,15.06,13.23,11.99,11.97,12.03,12.69,13.19,12.79,13.69,12.3,17.02
Inventory,17.66,17.9,14.82,16.58,15.61,14.06,13.56,14.86,16.72,16.11,17.56
Other Current Assets,3.31,4.17,2.52,2.94,2.93,2.86,3.36,4.56,2.97,3.06,2.95
Total Current Assets,41.03,41.24,40.64,43.76,34.23,35.81,37.64,41.94,43.19,44.08,51.75
Net PP&E,10.11,9.99,9.49,9.34,7.92,8.6,9.04,9.44,10.25,9.65,8.47
Intangibles,42.91,41.65,45.5,41.83,53.49,51.15,49.47,44.38,42.31,38.73,32.91
Other Long-Term Assets,5.95,7.12,4.38,5.07,4.36,4.45,3.85,4.24,4.25,7.54,6.87
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.91,6.77,5.77,7.91,6.84,5.84,6.19,6.92,7.15,6.82,5.1
Short-Term Debt,2.1,0.88,3.84,0.61,3.05,4.31,0.23,0.26,4.8,2.87,20.59
Taxes Payable,,,1.47,1.28,1.2,1.61,2.19,2.41,1.9,2.05,
Accrued Liabilities,7.57,5.9,5.44,4.87,3.61,5.86,6.14,5.99,5.72,6.04,9.45
Other Short-Term Liabilities,0.02,2.18,0.37,2.52,3.18,0.36,0.45,0.65,0.57,0.54,
Total Current Liabilities,17.6,15.73,16.89,17.18,17.89,17.98,15.2,16.23,20.14,18.33,35.14
Long-Term Debt,17.76,17.74,14.5,14.49,19.67,14.84,13.83,14.26,14.54,20.94,19.72
Other Long-Term Liabilities,9.16,11.26,9.65,8.53,13.84,13.97,12.06,13.08,9.45,10.0,8.94
Total Liabilities,44.52,44.73,41.04,40.21,51.4,46.79,41.09,43.58,44.14,49.27,63.79
Total Stockholders' Equity,55.48,55.27,58.96,59.79,48.6,53.21,58.91,56.42,55.86,50.73,36.21
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
