Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7219.0,7643.0,7220.0,7703.0,9459.0,10880.0,11420.0,11882.0,12033.0,12019.0,12186.0
Gross Margin %,43.5,43.9,44.3,46.7,45.8,46.5,48.1,48.6,48.2,48.4,49.2
Operating Income USD Mil,965.0,939.0,737.0,821.0,1245.0,1465.0,1647.0,1798.0,1788.0,1499.0,1328.0
Operating Margin %,13.4,12.3,10.2,10.7,13.2,13.5,14.4,15.1,14.9,12.5,10.9
Net Income USD Mil,592.0,603.0,461.0,571.0,888.0,1086.0,1210.0,1048.0,1232.0,1074.0,970.0
Earnings Per Share USD,1.3,1.35,1.03,1.29,2.0,2.43,2.71,2.38,2.85,2.54,2.37
Dividends USD,0.56,0.58,0.59,0.61,0.65,0.76,0.92,1.11,1.33,1.53,1.68
Payout Ratio % *,41.2,43.0,57.4,46.9,40.7,31.2,33.1,36.0,53.1,51.2,66.9
Shares Mil,453.0,445.0,446.0,441.0,445.0,448.0,447.0,440.0,432.0,422.0,408.0
Book Value Per Share * USD,8.14,8.08,8.65,8.9,10.08,11.63,12.78,13.57,12.58,11.77,9.96
Operating Cash Flow USD Mil,821.0,678.0,973.0,1001.0,1081.0,1275.0,1506.0,1698.0,1147.0,1478.0,1437.0
Cap Spending USD Mil,-120.0,-135.0,-96.0,-125.0,-249.0,-283.0,-325.0,-302.0,-318.0,-220.0,-236.0
Free Cash Flow USD Mil,700.0,544.0,878.0,876.0,832.0,992.0,1181.0,1396.0,829.0,1258.0,1201.0
Free Cash Flow Per Share * USD,1.54,1.22,1.97,1.99,0.7,2.22,2.83,2.57,1.6,2.89,
Working Capital USD Mil,1511.0,1641.0,1537.0,1717.0,1522.0,1717.0,2315.0,2566.0,2221.0,2508.0,
