Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,12720.0,13207.0,12731.0,14272.0,14529.0,17912.0,22756.0,22509.0,22371.0,22743.0,23343.0
Gross Margin %,64.6,62.0,65.1,65.5,64.6,64.0,65.4,64.8,66.5,69.7,70.3
Operating Income USD Mil,2498.0,2511.0,2249.0,2461.0,2777.0,2911.0,4854.0,4842.0,5078.0,5341.0,5407.0
Operating Margin %,19.6,19.0,17.7,17.2,19.1,16.3,21.3,21.5,22.7,23.5,23.2
Net Income USD Mil,1500.0,1362.0,1075.0,1320.0,1706.0,1768.0,2665.0,1883.0,2816.0,2152.0,2129.0
Earnings Per Share USD,3.54,3.21,2.49,3.0,3.83,3.07,3.76,2.66,4.05,3.11,3.02
Dividends USD,2.58,2.7,2.82,2.91,2.97,3.03,3.09,3.15,3.24,3.36,3.46
Payout Ratio % *,71.7,89.1,114.6,97.0,71.3,100.6,93.4,71.3,93.3,83.8,88.8
Shares Mil,422.0,422.0,431.0,440.0,444.0,575.0,706.0,707.0,694.0,691.0,699.0
Book Value Per Share * USD,50.36,49.15,49.85,50.84,51.18,57.91,58.31,58.57,57.9,57.84,59.47
Operating Cash Flow USD Mil,3208.0,3328.0,3463.0,4511.0,3672.0,5244.0,6382.0,6586.0,6676.0,6798.0,6198.0
Cap Spending USD Mil,-3125.0,-4386.0,-4389.0,-4817.0,-4372.0,-5501.0,-5526.0,-5384.0,-6766.0,-7901.0,-8490.0
Free Cash Flow USD Mil,83.0,-1058.0,-926.0,-306.0,-700.0,-257.0,856.0,1202.0,-90.0,-1103.0,-2292.0
Free Cash Flow Per Share * USD,0.2,-2.5,-2.15,-0.69,-1.0,-0.45,1.05,1.6,0.78,-0.72,
Working Capital USD Mil,-783.0,928.0,1678.0,2326.0,1352.0,93.0,1872.0,342.0,-3078.0,-3512.0,
