Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,4.54,17.9,26.18,20.42,12.38,14.53,9.66,24.22,4.65,5.54,2.54
Accounts Receivable,,,,,,,,,0.97,0.88,
Inventory,35.87,33.2,29.69,33.74,37.25,35.31,37.35,29.04,18.15,18.25,21.6
Other Current Assets,3.72,1.62,1.15,1.86,2.31,3.7,2.72,2.66,0.98,0.41,1.11
Total Current Assets,44.12,52.72,57.02,56.01,51.94,53.54,49.73,55.92,24.75,25.08,25.25
Net PP&E,41.6,34.89,31.2,31.13,35.44,34.91,39.47,33.94,19.66,19.84,20.21
Intangibles,8.27,6.55,5.82,7.27,7.43,6.3,6.11,4.66,54.69,54.75,54.21
Other Long-Term Assets,6.01,5.84,5.96,5.59,5.19,5.25,4.69,5.49,0.9,0.32,0.33
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,11.21,9.48,9.6,10.98,12.31,12.59,14.21,12.16,7.87,7.13,7.51
Short-Term Debt,1.03,0.86,0.76,0.69,0.67,0.52,0.46,,0.68,0.97,1.05
Taxes Payable,,,2.12,2.71,4.16,4.05,2.66,2.05,0.98,1.61,
Accrued Liabilities,,,,,3.49,3.6,3.44,6.04,2.19,2.23,
Other Short-Term Liabilities,10.46,9.8,8.29,8.0,4.32,3.81,3.99,3.91,1.45,1.48,4.4
Total Current Liabilities,22.71,20.14,20.78,22.38,24.95,24.57,24.76,24.15,13.18,13.41,12.97
Long-Term Debt,13.98,12.28,10.92,10.5,10.74,9.34,27.31,21.22,45.52,39.29,35.33
Other Long-Term Liabilities,8.02,6.02,5.88,5.83,6.57,5.51,5.7,4.58,13.59,12.97,12.82
Total Liabilities,44.71,38.44,37.58,38.71,42.26,39.41,57.77,49.96,72.29,65.68,61.12
Total Stockholders' Equity,55.29,61.56,62.42,61.29,57.74,60.59,42.23,50.04,27.71,34.32,38.88
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
