Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2522.0,3577.0,4847.0,5398.0,5789.0,6182.0,6649.0,7216.0,7967.0,8593.0,8886.0
Gross Margin %,44.4,45.5,48.0,48.6,49.0,50.1,50.7,51.4,52.3,52.5,52.6
Operating Income USD Mil,305.0,336.0,538.0,713.0,867.0,977.0,1103.0,1270.0,1514.0,1699.0,1730.0
Operating Margin %,12.1,9.4,11.1,13.2,15.0,15.8,16.6,17.6,19.0,19.8,19.5
Net Income USD Mil,194.0,186.0,307.0,419.0,508.0,586.0,670.0,778.0,931.0,1038.0,1078.0
Earnings Per Share USD,1.67,1.48,2.23,2.95,3.71,4.75,6.03,7.34,9.17,10.73,11.74
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,116.0,125.0,138.0,142.0,137.0,123.0,111.0,106.0,102.0,97.0,92.0
Book Value Per Share * USD,,,,,,,,,,424.41,138.62
Operating Cash Flow USD Mil,299.0,299.0,285.0,704.0,1119.0,1252.0,908.0,1190.0,1281.0,1454.0,1327.0
Cap Spending USD Mil,-283.0,-342.0,-415.0,-365.0,-328.0,-301.0,-396.0,-430.0,-414.0,-476.0,-468.0
Free Cash Flow USD Mil,17.0,-43.0,-130.0,338.0,791.0,951.0,512.0,760.0,867.0,978.0,859.0
Free Cash Flow Per Share * USD,,,,,,,,,,193.22,
Working Capital USD Mil,573.0,822.0,995.0,1072.0,1027.0,460.0,412.0,236.0,-36.0,-143.0,
