Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,20.25,29.68,31.46,34.59,27.84,24.31,29.54,33.49,38.26,40.99,40.99
Accounts Receivable,10.33,10.01,8.23,10.56,9.69,9.15,11.09,12.08,11.63,11.77,11.77
Inventory,1.08,1.29,1.38,1.09,0.91,0.85,1.12,1.46,1.48,1.2,1.2
Other Current Assets,2.77,2.83,3.41,2.44,2.16,2.29,3.97,4.35,4.52,4.86,4.86
Total Current Assets,34.43,43.81,44.48,48.69,40.61,36.6,45.71,51.38,55.88,58.82,58.82
Net PP&E,5.06,3.68,2.51,3.06,3.12,2.85,3.06,4.15,5.34,4.93,4.93
Intangibles,26.51,21.7,17.23,14.96,18.22,26.53,28.01,26.59,26.3,24.13,24.13
Other Long-Term Assets,34.0,30.81,35.78,33.29,38.05,34.02,23.21,17.88,12.48,12.12,12.12
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.39,1.77,1.55,2.14,1.41,1.67,2.0,2.2,1.48,2.05,2.05
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,0.31,0.45,0.19,0.39,1.01,,1.17,1.17
Accrued Liabilities,5.12,4.98,4.53,4.02,4.07,3.96,4.58,4.63,7.73,6.39,6.39
Other Short-Term Liabilities,13.38,14.12,14.99,17.27,18.45,18.89,22.17,24.82,27.39,28.07,28.07
Total Current Liabilities,19.89,20.87,21.08,23.74,24.38,24.72,29.15,32.66,36.61,37.67,37.67
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,3.64,4.36,5.24,5.79,6.06,6.3,8.18,10.4,12.0,12.77,12.77
Total Liabilities,23.53,25.23,26.32,29.52,30.44,31.02,37.33,43.06,48.61,50.44,50.44
Total Stockholders' Equity,76.47,74.77,73.68,70.48,69.56,68.98,62.67,56.94,51.39,49.56,49.56
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
