Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,32870.0,-10267.0,48099.0,47646.0,35492.0,54438.0,52375.0,60126.0,41305.0,71842.0,79310.0
Gross Margin %,,,,,,,,,,,
Operating Income GBP Mil,1058.0,-2074.0,1564.0,1882.0,1859.0,3117.0,2082.0,3154.0,3321.0,3212.0,4463.0
Operating Margin %,3.2,20.2,3.3,3.9,5.2,5.7,4.0,5.2,8.0,4.5,5.6
Net Income GBP Mil,947.0,-396.0,676.0,1306.0,1447.0,2163.0,1346.0,2216.0,2579.0,1921.0,2739.0
Earnings Per Share GBP,0.39,-0.16,0.27,0.52,0.56,0.85,0.53,0.86,1.0,0.75,1.07
Dividends GBP,0.18,0.18,0.19,0.2,0.25,0.27,0.31,0.35,0.38,0.39,0.43
Payout Ratio % *,55.0,,69.6,35.6,32.7,30.8,45.8,40.3,37.6,54.2,40.7
Shares Mil,2448.0,2472.0,2501.0,2529.0,2538.0,2544.0,2552.0,2552.0,2556.0,2562.0,2566.0
Book Value Per Share * GBP,2.51,2.03,2.48,3.15,3.34,4.05,3.76,4.14,4.71,5.66,5.97
Operating Cash Flow GBP Mil,1138.0,1144.0,108.0,1948.0,1738.0,446.0,1324.0,1828.0,2533.0,2201.0,1488.0
Cap Spending GBP Mil,-231.0,-240.0,-91.0,-93.0,-124.0,-139.0,-221.0,-172.0,-256.0,-348.0,-372.0
Free Cash Flow GBP Mil,907.0,904.0,17.0,1855.0,1614.0,307.0,1103.0,1656.0,2277.0,1853.0,1116.0
Free Cash Flow Per Share * GBP,0.37,0.37,0.01,0.73,1.09,0.12,0.51,0.17,1.34,0.29,
Working Capital GBP Mil,,,,,,,,,,,
