Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,62614.0,61666.0,,62421.0,58653.0,58169.0,60132.0,62658.0,69228.0,73095.0,75330.0
Gross Margin %,43.5,43.9,,42.8,42.1,41.1,39.7,48.9,48.4,49.3,49.3
Operating Income EUR Mil,5294.0,7040.0,6012.0,5505.0,5563.0,-3962.0,4930.0,7247.0,7028.0,9164.0,9636.0
Operating Margin %,8.5,11.4,,8.8,9.5,-6.8,8.2,11.6,10.2,12.5,12.8
Net Income EUR Mil,570.0,1483.0,353.0,1695.0,538.0,-5353.0,930.0,2924.0,3254.0,2675.0,5.0
Earnings Per Share EUR,0.13,0.34,0.08,0.39,0.13,-1.24,0.21,0.65,0.71,0.58,-0.01
Dividends EUR,,,,0.29,0.35,0.35,0.35,0.5,0.5,0.55,0.6
Payout Ratio % *,,,,102.6,125.0,,62.5,100.0,104.2,44.4,
Shares Mil,4372.0,4351.0,4340.0,4321.0,4300.0,4300.0,4370.0,4476.0,4553.0,4625.0,4683.0
Book Value Per Share * EUR,9.88,9.53,8.24,8.92,8.33,5.93,5.57,5.67,6.09,6.11,6.27
Operating Cash Flow EUR Mil,13736.0,15405.0,15795.0,14731.0,16214.0,13577.0,13017.0,13393.0,14997.0,15533.0,16916.0
Cap Spending EUR Mil,-8027.0,-8728.0,-9202.0,-9851.0,-8406.0,-8432.0,-11068.0,-11844.0,-14613.0,-13640.0,-19697.0
Free Cash Flow EUR Mil,5708.0,6677.0,6593.0,4880.0,7808.0,5145.0,1949.0,1549.0,384.0,1893.0,-2781.0
Free Cash Flow Per Share * EUR,0.96,1.41,1.38,2.3,1.27,1.9,0.69,0.21,0.02,0.51,
Working Capital EUR Mil,-7282.0,-8979.0,-1782.0,-11209.0,-8473.0,-7989.0,-533.0,1600.0,-1364.0,-6488.0,
