Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,37.6,34.48,43.62,57.2,66.93,78.89,64.65,28.72,15.2,21.67,28.13
Accounts Receivable,5.23,6.87,6.47,5.59,6.66,5.59,5.13,4.31,3.7,4.34,5.58
Inventory,,,,,,,,,,,
Other Current Assets,2.55,5.07,5.68,4.57,3.64,2.0,1.84,2.23,1.49,1.22,1.68
Total Current Assets,45.38,46.42,55.77,67.36,77.24,86.49,71.63,35.26,20.4,27.23,35.38
Net PP&E,2.01,2.19,1.66,1.37,1.62,1.36,1.29,1.33,1.58,1.75,1.77
Intangibles,34.79,38.7,28.5,25.57,17.75,11.12,26.69,37.89,31.82,22.13,19.18
Other Long-Term Assets,17.83,12.7,14.07,5.71,3.39,1.02,0.39,25.52,46.21,48.89,43.67
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.53,3.44,3.3,3.11,3.7,2.81,2.37,1.88,1.85,2.11,3.12
Short-Term Debt,42.18,29.24,8.72,0.01,12.53,7.92,1.45,0.25,,4.88,3.49
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,4.41,5.78,6.95,8.39,5.59,5.9,5.22,4.02,3.91,4.32,4.23
Other Short-Term Liabilities,1.31,2.21,3.31,4.71,6.02,5.61,4.19,3.08,2.5,3.1,3.21
Total Current Liabilities,51.44,40.67,22.29,16.21,27.85,22.25,13.23,9.24,8.26,14.41,14.05
Long-Term Debt,,,1.96,16.39,1.95,13.43,16.76,25.77,35.35,31.1,33.84
Other Long-Term Liabilities,5.69,4.98,3.7,5.0,5.37,5.01,3.85,7.66,5.9,4.99,2.18
Total Liabilities,57.13,45.66,27.95,37.6,35.17,40.68,33.84,42.66,49.51,50.5,50.07
Total Stockholders' Equity,42.87,54.34,72.05,62.4,64.83,59.32,66.16,57.34,50.49,49.5,49.93
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
