Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,11.0,13.0,13.0,13.0,14.0,13.0,12.0,13.0,17.0,16.0,15.0
Gross Margin %,49.4,53.0,56.4,50.9,52.1,51.7,50.6,51.2,50.6,54.2,54.1
Operating Income GBP Mil,2.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,3.0
Operating Margin %,21.1,21.9,21.1,17.9,19.3,15.2,3.3,13.0,15.8,17.4,17.7
Net Income GBP Mil,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0
Earnings Per Share GBP,0.02,0.03,0.04,0.03,0.04,0.03,0.01,0.02,0.04,0.03,0.04
Dividends GBP,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Payout Ratio % *,40.4,39.1,38.6,51.8,47.3,60.4,87.6,194.4,47.6,49.4,58.0
Shares Mil,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,73.0,73.0,73.0
Book Value Per Share * GBP,0.11,0.14,0.15,0.17,0.17,0.2,0.2,0.18,0.21,0.23,0.24
Operating Cash Flow GBP Mil,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,3.0
Cap Spending GBP Mil,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-3.0,-2.0,-2.0
Free Cash Flow GBP Mil,1.0,1.0,1.0,1.0,2.0,-0.0,2.0,2.0,2.0,3.0,1.0
Free Cash Flow Per Share * GBP,0.01,0.01,0.01,0.01,0.03,,0.02,0.01,0.03,0.05,
Working Capital GBP Mil,6.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,12.0,
