Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,10.37,4.23,2.2,1.92,0.12,0.2,0.09,0.47,0.05,0.06,0.07
Accounts Receivable,4.82,5.12,7.44,4.9,3.92,3.74,4.26,3.54,3.18,3.69,2.38
Inventory,2.9,2.04,2.64,2.51,2.25,1.89,1.91,1.85,1.79,1.66,1.56
Other Current Assets,2.39,6.23,2.96,2.44,2.65,3.39,2.85,2.77,1.6,1.15,1.31
Total Current Assets,20.48,17.63,15.24,11.77,8.94,9.22,9.1,8.63,6.62,6.56,5.32
Net PP&E,65.09,60.98,68.65,72.51,72.64,72.67,74.93,73.96,76.18,76.86,77.44
Intangibles,,,,,,,,,,,
Other Long-Term Assets,14.43,21.39,16.11,15.72,18.42,18.11,15.97,17.41,17.2,16.58,17.23
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.82,5.18,3.68,3.62,3.18,3.15,3.28,3.54,3.22,3.33,3.39
Short-Term Debt,3.5,2.71,3.23,0.52,1.08,2.03,5.74,2.68,3.79,1.86,4.18
Taxes Payable,,,,0.49,0.49,0.45,0.45,,,0.44,0.28
Accrued Liabilities,4.71,4.76,0.87,0.5,0.48,0.45,0.46,,,,
Other Short-Term Liabilities,,,4.12,4.2,3.59,3.39,2.97,3.83,3.87,3.05,2.57
Total Current Liabilities,13.03,12.66,11.89,9.34,8.83,9.46,12.9,10.05,10.88,8.69,10.42
Long-Term Debt,19.53,21.32,26.61,29.12,27.9,29.08,26.8,29.84,28.19,32.27,30.15
Other Long-Term Liabilities,30.14,31.6,28.78,28.39,30.06,32.4,28.98,31.66,31.13,30.16,30.01
Total Liabilities,62.71,65.57,67.28,66.85,66.78,70.93,68.67,71.55,70.2,71.12,70.57
Total Stockholders' Equity,37.29,34.43,32.72,33.15,33.22,29.07,31.33,28.45,29.8,28.88,29.43
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
