Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2756.0,3921.0,2608.0,3965.0,6097.0,6104.0,5474.0,4743.0,4308.0,3685.0,3898.0
Gross Margin %,24.3,31.2,32.2,29.7,47.5,51.0,46.0,37.5,35.9,22.8,9.8
Operating Income USD Mil,602.0,1150.0,679.0,896.0,2791.0,2959.0,2411.0,2366.0,1193.0,134.0,25.0
Operating Margin %,21.8,29.3,26.1,22.6,45.8,48.5,44.1,49.9,27.7,3.6,0.6
Net Income USD Mil,372.0,685.0,366.0,349.0,1539.0,1849.0,1464.0,1390.0,700.0,-277.0,-427.0
Earnings Per Share USD,1.31,2.43,1.48,1.07,4.39,5.71,4.95,5.42,2.96,-1.19,-1.84
Dividends USD,0.02,0.08,0.08,0.08,0.2,0.32,0.44,1.0,1.2,1.2,1.2
Payout Ratio % *,1.2,3.3,5.4,7.5,3.8,5.6,6.1,16.1,31.3,387.1,
Shares Mil,284.0,282.0,246.0,327.0,350.0,324.0,296.0,256.0,236.0,233.0,233.0
Book Value Per Share * USD,4.22,4.71,7.12,11.37,13.03,18.75,18.28,18.61,17.64,16.56,13.58
Operating Cash Flow USD Mil,690.0,639.0,681.0,1194.0,2079.0,2375.0,1466.0,1408.0,1204.0,617.0,1427.0
Cap Spending USD Mil,-105.0,-142.0,-235.0,-258.0,-247.0,-524.0,-823.0,-1809.0,-2469.0,-2211.0,-682.0
Free Cash Flow USD Mil,585.0,497.0,446.0,936.0,1832.0,1852.0,643.0,-399.0,-1265.0,-1594.0,745.0
Free Cash Flow Per Share * USD,2.06,1.76,1.81,2.86,6.36,5.73,3.14,-0.94,-4.28,-7.61,
Working Capital USD Mil,649.0,615.0,803.0,395.0,767.0,1857.0,1801.0,1634.0,-88.0,1969.0,
