Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,2066.0,2083.0,2000.0,2084.0,2230.0,2326.0,2519.0,2739.0,2952.0,3151.0,3182.0
Gross Margin %,68.0,67.3,67.3,68.7,69.9,71.1,70.9,70.5,71.0,70.8,70.9
Operating Income USD Mil,828.0,805.0,724.0,786.0,853.0,904.0,983.0,1053.0,1146.0,1239.0,1261.0
Operating Margin %,40.1,38.7,36.2,37.7,38.3,38.9,39.0,38.5,38.8,39.3,39.6
Net Income USD Mil,576.0,534.0,477.0,515.0,548.0,569.0,628.0,674.0,756.0,817.0,828.0
Earnings Per Share USD,1.56,1.48,1.32,1.42,1.51,1.56,1.71,1.85,2.09,2.25,2.28
Dividends USD,1.2,1.24,1.24,1.24,1.27,0.65,1.4,1.52,1.68,1.84,1.88
Payout Ratio % *,74.0,80.4,93.9,87.3,84.1,62.1,63.6,82.3,80.4,81.8,82.4
Shares Mil,370.0,361.0,361.0,362.0,363.0,364.0,366.0,365.0,363.0,363.0,361.0
Book Value Per Share * USD,3.2,3.69,3.87,4.13,4.42,4.39,4.93,5.18,5.2,5.28,5.41
Operating Cash Flow USD Mil,725.0,689.0,611.0,715.0,707.0,675.0,880.0,895.0,1018.0,960.0,1009.0
Cap Spending USD Mil,-82.0,-65.0,-73.0,-101.0,-89.0,-99.0,-95.0,-102.0,-98.0,-94.0,-92.0
Free Cash Flow USD Mil,642.0,624.0,538.0,614.0,617.0,577.0,786.0,792.0,921.0,866.0,917.0
Free Cash Flow Per Share * USD,1.62,1.74,1.59,1.7,1.7,1.78,1.87,2.09,2.46,2.49,
Working Capital USD Mil,429.0,538.0,417.0,470.0,330.0,564.0,573.0,530.0,497.0,546.0,
