Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,31647.0,41134.0,29614.0,33862.0,21451.0,12245.0,11905.0,11439.0,6561.0,4844.0,5333.0
Gross Margin %,22.0,23.6,23.1,25.2,40.0,66.6,63.5,64.8,47.1,37.2,43.8
Operating Income USD Mil,3683.0,5065.0,1981.0,3453.0,3576.0,3066.0,3173.0,2759.0,-2301.0,-3301.0,-2265.0
Operating Margin %,11.6,12.3,6.7,10.2,16.7,25.0,26.7,24.1,-35.1,-68.1,-42.5
Net Income USD Mil,1832.0,2360.0,740.0,2125.0,1703.0,2025.0,5052.0,2317.0,-3056.0,-6132.0,-6289.0
Earnings Per Share USD,5.74,7.24,2.27,6.47,5.01,5.95,14.82,7.53,-10.78,-19.92,-20.36
Dividends USD,0.4,0.4,0.4,0.4,0.4,0.4,0.7,1.0,1.0,1.0,1.0
Payout Ratio % *,6.9,5.5,17.6,6.1,7.2,6.7,5.5,12.4,,,
Shares Mil,319.0,326.0,326.0,328.0,339.0,340.0,340.0,307.0,284.0,309.0,314.0
Book Value Per Share * USD,30.49,37.74,40.9,49.42,55.4,61.75,73.06,84.84,74.57,62.67,41.32
Operating Cash Flow USD Mil,3507.0,4567.0,3046.0,4530.0,4984.0,5660.0,4870.0,4464.0,1981.0,795.0,928.0
Cap Spending USD Mil,-3578.0,-4438.0,-2918.0,-5492.0,-7006.0,-7795.0,-5840.0,-5274.0,-4321.0,-2251.0,-1870.0
Free Cash Flow USD Mil,-71.0,129.0,128.0,-962.0,-2022.0,-2135.0,-970.0,-810.0,-2340.0,-1456.0,-942.0
Free Cash Flow Per Share * USD,-0.22,0.4,0.39,-2.93,-5.65,-6.27,-3.98,-0.64,-8.86,-5.32,
Working Capital USD Mil,-1098.0,-398.0,1137.0,1167.0,239.0,5.0,2041.0,1836.0,1776.0,2025.0,
