Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1091.0,1238.0,1321.0,1447.0,1678.0,1899.0,2046.0,2323.0,2493.0,2963.0,3315.0
Gross Margin %,65.3,66.1,69.8,71.8,70.8,74.2,74.7,73.1,75.2,73.1,74.3
Operating Income USD Mil,172.0,173.0,302.0,284.0,300.0,406.0,534.0,1233.0,636.0,786.0,951.0
Operating Margin %,15.8,14.0,22.8,19.6,17.9,21.3,26.1,53.1,25.5,26.5,28.7
Net Income USD Mil,113.0,129.0,229.0,218.0,236.0,292.0,389.0,811.0,494.0,570.0,744.0
Earnings Per Share USD,0.47,0.55,0.97,0.92,0.99,1.23,1.71,3.74,2.25,2.61,3.43
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,251.0,238.0,235.0,238.0,239.0,236.0,227.0,217.0,220.0,218.0,216.0
Book Value Per Share * USD,,,,,,,,,,,
Operating Cash Flow USD Mil,210.0,153.0,165.0,251.0,315.0,374.0,472.0,1022.0,550.0,704.0,837.0
Cap Spending USD Mil,-63.0,-78.0,-64.0,-63.0,-90.0,-128.0,-110.0,-94.0,-107.0,-217.0,-187.0
Free Cash Flow USD Mil,147.0,75.0,101.0,188.0,224.0,246.0,363.0,929.0,443.0,487.0,651.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,206.0,433.0,599.0,694.0,833.0,945.0,1380.0,1860.0,1572.0,1708.0,
