Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,6.39,1.27,12.08,20.18,22.11,15.89,13.93,8.95,7.73,12.81,8.21
Accounts Receivable,31.93,34.3,30.93,27.15,23.94,26.32,25.39,24.94,2.55,2.53,2.58
Inventory,17.07,15.9,13.65,13.09,13.52,16.81,17.86,18.75,25.27,24.13,29.73
Other Current Assets,4.63,5.35,4.96,4.22,5.91,3.8,3.8,3.87,3.61,1.78,1.98
Total Current Assets,60.02,56.83,61.62,64.65,65.48,62.81,60.98,56.51,39.15,41.26,42.5
Net PP&E,35.41,39.23,34.08,31.06,29.08,31.88,34.39,36.13,48.52,49.59,48.13
Intangibles,0.95,0.94,0.81,0.71,2.06,2.16,2.04,4.71,5.65,3.03,2.91
Other Long-Term Assets,3.62,3.0,3.5,3.58,3.38,3.14,2.59,2.66,6.68,6.12,6.46
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.93,9.95,11.04,11.34,10.8,12.5,14.73,14.36,17.2,17.05,22.17
Short-Term Debt,4.66,5.28,5.41,0.08,5.96,0.09,0.08,0.09,0.13,0.14,0.7
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,4.79,3.78,5.11,5.03,4.57,4.99,4.61,4.5,5.4,5.79,5.29
Other Short-Term Liabilities,9.82,9.27,9.06,8.74,9.0,9.94,10.22,11.34,15.08,15.56,14.24
Total Current Liabilities,29.2,28.28,30.61,25.18,30.33,27.52,29.64,30.29,37.82,38.55,42.4
Long-Term Debt,39.93,39.11,34.31,37.19,36.99,38.62,36.23,33.78,36.31,35.16,32.75
Other Long-Term Liabilities,10.96,11.23,11.19,10.55,9.65,10.21,9.88,9.54,14.56,15.22,14.41
Total Liabilities,80.09,78.63,76.11,72.92,76.96,76.35,75.74,73.61,88.69,88.93,89.57
Total Stockholders' Equity,19.91,21.37,23.89,27.08,23.04,23.65,24.26,26.39,11.31,11.07,10.43
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
