Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1392.0,1583.0,1614.0,1875.0,2206.0,2586.0,2918.0,3143.0,3276.0,3418.0,3464.0
Gross Margin %,90.1,88.9,88.4,87.6,86.7,84.4,82.8,80.3,81.2,83.6,83.5
Operating Income USD Mil,202.0,170.0,179.0,321.0,417.0,391.0,381.0,302.0,350.0,649.0,673.0
Operating Margin %,14.5,10.7,11.1,17.1,18.9,15.1,13.0,9.6,10.7,19.0,19.4
Net Income USD Mil,214.0,178.0,191.0,277.0,356.0,353.0,340.0,252.0,319.0,536.0,463.0
Earnings Per Share USD,1.14,0.96,1.03,1.46,1.87,1.86,1.8,1.47,1.99,3.41,2.94
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,187.0,187.0,185.0,190.0,191.0,189.0,188.0,171.0,160.0,157.0,157.0
Book Value Per Share * USD,,,,,,,242.73,192.29,235.62,311.95,254.17
Operating Cash Flow USD Mil,424.0,462.0,484.0,616.0,679.0,819.0,928.0,846.0,1035.0,1116.0,914.0
Cap Spending USD Mil,-89.0,-221.0,-80.0,-92.0,-127.0,-151.0,-175.0,-179.0,-172.0,-161.0,-136.0
Free Cash Flow USD Mil,335.0,241.0,404.0,524.0,552.0,668.0,753.0,667.0,862.0,955.0,778.0
Free Cash Flow Per Share * USD,,,,,,,50.24,59.6,81.76,127.78,
Working Capital USD Mil,280.0,209.0,205.0,450.0,194.0,371.0,99.0,98.0,3.0,-537.0,
