Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,748.0,903.0,993.0,925.0,869.0,848.0,885.0,1071.0,1263.0,1574.0,1661.0
Gross Margin %,4.2,4.6,4.4,4.4,5.7,6.4,6.6,5.6,5.3,4.8,5.1
Operating Income GBP Mil,17.0,18.0,21.0,29.0,22.0,27.0,16.0,26.0,30.0,35.0,41.0
Operating Margin %,2.2,2.0,2.1,3.2,2.5,3.2,1.9,2.4,2.3,2.2,2.4
Net Income GBP Mil,16.0,18.0,14.0,23.0,18.0,23.0,13.0,21.0,22.0,26.0,30.0
Earnings Per Share GBP,0.35,0.29,0.23,0.35,0.28,0.34,0.17,0.21,0.21,0.25,0.28
Dividends GBP,,0.07,0.08,0.09,0.1,0.1,0.11,0.11,0.1,0.12,0.13
Payout Ratio % *,,25.8,33.7,24.0,24.9,28.6,53.8,57.7,39.2,49.3,45.9
Shares Mil,45.0,63.0,65.0,65.0,66.0,67.0,74.0,97.0,105.0,105.0,106.0
Book Value Per Share * GBP,0.44,0.53,-0.06,0.59,0.64,0.49,0.53,0.97,1.08,0.96,1.18
Operating Cash Flow GBP Mil,20.0,23.0,-17.0,30.0,33.0,-23.0,-36.0,41.0,15.0,67.0,53.0
Cap Spending GBP Mil,-1.0,-6.0,-7.0,-1.0,-3.0,-1.0,-3.0,-6.0,-2.0,-7.0,-6.0
Free Cash Flow GBP Mil,19.0,16.0,-24.0,30.0,30.0,-24.0,-38.0,35.0,14.0,60.0,46.0
Free Cash Flow Per Share * GBP,0.41,0.26,-0.36,0.45,0.52,-0.35,-0.82,0.18,0.07,-0.07,
Working Capital GBP Mil,13.0,17.0,4.0,-2.0,-16.0,-13.0,-20.0,48.0,49.0,71.0,
