Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,15.0,14.0,14.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0
Gross Margin %,61.0,62.9,63.7,100.0,100.0,64.5,65.9,68.7,74.3,72.7,72.7
Operating Income EUR Mil,-0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Operating Margin %,-2.8,1.0,3.4,4.4,5.6,4.6,6.9,9.8,12.4,8.7,8.7
Net Income EUR Mil,-1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Earnings Per Share EUR,,0.34,0.76,4.99,1.67,1.3,1.9,2.38,,2.26,2.26
Dividends EUR,,,,,,0.75,0.9,1.0,,2.0,2.0
Payout Ratio % *,,,,,,,57.8,47.3,42.0,,88.4
Shares Mil,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
Book Value Per Share * EUR,,28.92,29.26,30.02,35.01,36.68,38.09,39.09,40.46,,41.92
Operating Cash Flow EUR Mil,,,,,,,,,,,
Cap Spending EUR Mil,,,,,,,,,,,
Free Cash Flow EUR Mil,,,,,,,,,,,
Free Cash Flow Per Share * EUR,,,,,,,,,,,
Working Capital EUR Mil,-9.0,-8.0,-7.0,-5.0,-6.0,-8.0,-3.0,-1.0,-1.0,-2.0,
