Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.64,2.48,3.19,3.56,7.55,4.1,1.87,2.86,10.27,18.25,0.66
Accounts Receivable,20.8,6.75,6.15,6.45,6.84,6.74,7.58,7.46,7.08,6.6,7.03
Inventory,3.09,3.04,2.99,2.75,2.28,2.21,2.44,2.47,2.36,2.06,2.6
Other Current Assets,1.49,2.05,2.24,2.02,2.25,1.9,1.76,1.85,0.78,1.03,2.32
Total Current Assets,26.02,14.32,14.57,14.78,18.93,14.95,13.64,14.64,20.49,27.94,12.61
Net PP&E,8.24,11.46,12.64,13.18,12.41,13.46,14.3,13.79,13.03,11.62,11.25
Intangibles,64.59,65.93,64.78,64.06,60.94,63.47,69.28,68.58,63.72,57.7,73.16
Other Long-Term Assets,1.15,8.29,8.01,7.98,7.72,8.11,2.77,2.99,2.76,2.74,2.98
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.38,2.71,2.87,,2.85,3.17,3.3,3.49,3.12,3.09,3.85
Short-Term Debt,1.2,0.06,,4.56,4.87,2.8,0.8,,5.64,0.1,0.7
Taxes Payable,,,0.05,0.2,5.71,0.5,0.4,0.12,0.3,0.04,0.1
Accrued Liabilities,,1.0,1.71,,1.62,1.48,1.62,1.85,1.84,1.61,1.57
Other Short-Term Liabilities,0.21,5.51,5.1,10.34,5.58,5.85,6.43,7.08,6.95,5.88,7.31
Total Current Liabilities,10.78,9.27,9.73,15.1,20.63,13.8,12.56,12.55,17.85,10.73,13.54
Long-Term Debt,27.66,40.77,33.73,19.04,24.23,27.98,,,32.42,45.63,43.82
Other Long-Term Liabilities,13.87,19.77,20.23,38.1,30.77,32.68,59.68,59.72,25.12,21.84,21.44
Total Liabilities,52.31,69.82,63.69,72.24,75.62,74.46,72.24,72.27,75.39,78.2,78.79
Total Stockholders' Equity,47.69,30.18,36.31,27.76,24.38,25.54,27.76,27.73,24.61,21.8,21.21
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
