Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3715.0,3267.0,2358.0,2237.0,2611.0,4117.0,4955.0,5685.0,5817.0,5762.0,6242.0
Gross Margin %,35.3,34.2,25.9,29.4,34.4,38.5,40.1,42.8,42.6,41.7,41.6
Operating Income USD Mil,658.0,-630.0,114.0,197.0,396.0,591.0,1078.0,1391.0,1518.0,1415.0,1447.0
Operating Margin %,17.7,-19.3,4.8,8.8,15.2,14.4,21.8,24.5,26.1,24.6,23.2
Net Income USD Mil,369.0,-704.0,-62.0,-26.0,101.0,75.0,387.0,540.0,585.0,566.0,602.0
Earnings Per Share USD,3.25,-12.62,-1.02,-0.44,1.38,0.79,3.64,5.15,6.07,6.45,7.05
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,114.0,75.0,60.0,60.0,73.0,95.0,106.0,105.0,96.0,88.0,85.0
Book Value Per Share * USD,23.38,-0.48,-0.32,-0.33,0.22,16.59,18.29,18.52,16.31,18.27,26.14
Operating Cash Flow USD Mil,868.0,764.0,438.0,452.0,608.0,721.0,1551.0,1801.0,1995.0,1953.0,2089.0
Cap Spending USD Mil,-990.0,-704.0,-311.0,-374.0,-810.0,-1369.0,-1684.0,-1821.0,-1636.0,-1339.0,-1701.0
Free Cash Flow USD Mil,-122.0,60.0,127.0,78.0,-202.0,-648.0,-133.0,-20.0,359.0,614.0,388.0
Free Cash Flow Per Share * USD,-1.1,0.8,2.11,1.29,-2.28,-6.83,-3.9,2.08,1.4,8.04,
Working Capital USD Mil,600.0,276.0,244.0,156.0,-141.0,-8.0,76.0,68.0,61.0,177.0,
