Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2836.0,3162.0,2863.0,2984.0,3178.0,3247.0,3346.0,3564.0,3644.0,3718.0,3828.0
Gross Margin %,36.7,35.9,35.9,36.1,34.9,35.8,35.2,35.3,35.5,35.2,35.2
Operating Income USD Mil,357.0,406.0,367.0,410.0,404.0,442.0,482.0,496.0,516.0,483.0,504.0
Operating Margin %,12.6,12.8,12.8,13.8,12.7,13.6,14.4,13.9,14.2,13.0,13.2
Net Income USD Mil,365.0,379.0,326.0,344.0,347.0,391.0,412.0,422.0,446.0,409.0,425.0
Earnings Per Share USD,1.65,1.74,1.57,1.69,1.86,2.31,2.53,2.62,2.85,2.71,2.88
Dividends USD,,,,,,0.13,0.52,0.59,0.67,0.76,0.83
Payout Ratio % *,,,,,,,20.2,22.4,22.4,27.6,28.8
Shares Mil,223.0,220.0,208.0,204.0,187.0,169.0,163.0,160.0,155.0,150.0,147.0
Book Value Per Share * USD,8.42,9.76,,12.27,12.74,14.37,15.0,17.25,20.68,20.8,20.99
Operating Cash Flow USD Mil,424.0,484.0,519.0,685.0,535.0,514.0,671.0,709.0,773.0,620.0,590.0
Cap Spending USD Mil,-166.0,-136.0,-83.0,-87.0,-110.0,-122.0,-107.0,-112.0,-121.0,-130.0,-127.0
Free Cash Flow USD Mil,258.0,348.0,436.0,598.0,426.0,392.0,564.0,598.0,652.0,490.0,463.0
Free Cash Flow Per Share * USD,0.92,1.12,,2.15,1.68,1.79,2.12,3.13,3.57,3.2,
Working Capital USD Mil,914.0,1176.0,1262.0,1228.0,968.0,976.0,1208.0,1223.0,1015.0,734.0,
