Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,506.0,591.0,562.0,525.0,623.0,717.0,759.0,818.0,895.0,960.0,986.0
Gross Margin %,63.7,21.8,64.3,63.9,64.9,65.8,65.9,66.9,68.5,68.6,68.7
Operating Income USD Mil,-78.0,-68.0,-79.0,-116.0,22.0,67.0,117.0,127.0,160.0,175.0,186.0
Operating Margin %,-15.4,-11.6,-14.0,-22.1,3.6,9.4,15.4,15.5,17.8,18.2,18.9
Net Income USD Mil,221.0,698.0,-88.0,-103.0,20.0,212.0,45.0,154.0,340.0,293.0,290.0
Earnings Per Share USD,1.41,5.29,-0.64,-0.68,0.05,0.85,0.16,0.59,1.29,1.08,1.06
Dividends USD,1.3,1.65,0.67,0.72,0.77,1.09,0.93,1.01,1.37,1.18,1.23
Payout Ratio % *,,,,,,,,309.3,148.6,106.3,111.5
Shares Mil,145.0,130.0,149.0,166.0,201.0,239.0,250.0,253.0,264.0,267.0,269.0
Book Value Per Share * USD,6.28,10.38,8.68,8.08,10.01,11.78,11.09,10.71,10.8,10.76,10.45
Operating Cash Flow USD Mil,251.0,180.0,229.0,214.0,244.0,317.0,340.0,392.0,432.0,537.0,543.0
Cap Spending USD Mil,-736.0,-1243.0,-303.0,-518.0,-1192.0,-506.0,-442.0,-582.0,-465.0,-438.0,-565.0
Free Cash Flow USD Mil,-486.0,-1063.0,-74.0,-304.0,-948.0,-189.0,-102.0,-190.0,-34.0,99.0,-22.0
Free Cash Flow Per Share * USD,-3.63,-7.54,-0.5,-1.83,-4.66,-0.79,-0.91,-0.71,0.41,-0.02,
Working Capital USD Mil,-110.0,65.0,-121.0,-143.0,-145.0,-95.0,-64.0,-207.0,-202.0,-230.0,
