Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,912.0,1085.0,1223.0,1455.0,1776.0,2220.0,2671.0,3241.0,3924.0,4855.0,5527.0
Gross Margin %,31.1,30.2,30.8,33.3,34.7,35.3,35.2,35.1,35.3,36.0,35.9
Operating Income USD Mil,47.0,46.0,68.0,119.0,196.0,280.0,328.0,410.0,506.0,655.0,755.0
Operating Margin %,5.1,4.3,5.6,8.2,11.0,12.6,12.3,12.7,12.9,13.5,13.7
Net Income USD Mil,25.0,25.0,39.0,71.0,120.0,173.0,203.0,257.0,320.0,410.0,487.0
Earnings Per Share USD,0.48,0.43,0.66,1.16,1.9,2.68,3.15,3.98,4.98,6.52,7.82
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,53.0,59.0,59.0,61.0,63.0,64.0,64.0,65.0,64.0,63.0,62.0
Book Value Per Share * USD,3.72,4.01,4.64,6.69,9.39,11.09,14.45,18.48,21.63,23.37,26.5
Operating Cash Flow USD Mil,47.0,75.0,173.0,177.0,221.0,239.0,328.0,397.0,376.0,635.0,641.0
Cap Spending USD Mil,-102.0,-111.0,-68.0,-97.0,-129.0,-189.0,-226.0,-249.0,-299.0,-374.0,-430.0
Free Cash Flow USD Mil,-55.0,-36.0,105.0,79.0,92.0,50.0,102.0,148.0,77.0,261.0,211.0
Free Cash Flow Per Share * USD,-1.03,-0.5,1.64,1.3,1.46,0.72,0.62,2.35,1.41,3.19,
Working Capital USD Mil,117.0,160.0,136.0,241.0,415.0,568.0,736.0,901.0,979.0,1007.0,
