Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,11484.0,13094.0,10746.0,11488.0,11229.0,10302.0,11391.0,12495.0,11513.0,10846.0,11099.0
Gross Margin %,57.1,52.0,63.3,61.4,61.6,65.7,62.6,61.5,64.4,70.1,67.7
Operating Income USD Mil,2056.0,2283.0,2285.0,2267.0,2013.0,1301.0,1355.0,2007.0,-299.0,-886.0,-1551.0
Operating Margin %,17.9,17.4,21.3,19.7,17.9,12.6,11.9,16.1,-2.6,-8.2,-14.0
Net Income USD Mil,1135.0,1241.0,1251.0,1270.0,1367.0,868.0,731.0,960.0,-157.0,-565.0,-864.0
Earnings Per Share USD,5.6,6.2,6.3,6.66,7.55,4.76,3.99,5.22,-0.99,-3.26,-4.93
Dividends USD,2.58,3.0,3.0,3.24,3.32,3.32,3.32,3.32,3.34,3.42,3.48
Payout Ratio % *,46.1,48.4,47.6,48.6,41.8,69.8,68.8,61.6,,47.5,
Shares Mil,203.0,201.0,196.0,188.0,178.0,178.0,179.0,180.0,179.0,179.0,179.0
Book Value Per Share * USD,40.71,42.08,46.04,47.53,51.37,51.73,53.27,57.15,51.33,56.21,48.21
Operating Cash Flow USD Mil,2560.0,3324.0,2933.0,3926.0,3129.0,2940.0,3189.0,3890.0,3291.0,2999.0,2459.0
Cap Spending USD Mil,-2323.0,-2479.0,-2457.0,-2382.0,-3328.0,-3689.0,-2823.0,-2657.0,-2994.0,-4044.0,-3779.0
Free Cash Flow USD Mil,237.0,845.0,476.0,1544.0,-199.0,-749.0,367.0,1233.0,297.0,-1046.0,-1320.0
Free Cash Flow Per Share * USD,1.17,4.21,2.43,8.22,,-4.21,-3.74,7.67,2.83,-4.86,
Working Capital USD Mil,701.0,1394.0,1340.0,1563.0,-1328.0,-423.0,-131.0,541.0,977.0,484.0,
