Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.13,0.25,0.31,0.26,0.55,0.87,0.68,0.64,0.8,2.71,2.98
Accounts Receivable,12.88,12.29,11.03,10.89,10.97,10.14,9.34,9.07,8.74,8.49,8.88
Inventory,3.54,3.41,2.63,2.61,2.79,2.63,2.5,2.78,2.9,2.85,2.88
Other Current Assets,1.45,1.69,1.55,1.81,1.63,1.8,1.88,1.85,1.89,0.85,1.18
Total Current Assets,17.99,17.63,15.53,15.57,15.94,15.43,14.4,14.34,14.33,14.9,15.92
Net PP&E,59.51,60.69,62.79,62.41,61.94,63.31,60.62,60.58,60.04,59.37,58.86
Intangibles,15.7,15.55,15.45,14.39,15.52,14.81,18.71,18.81,19.4,19.14,18.64
Other Long-Term Assets,6.8,6.14,6.23,7.63,6.6,6.44,6.27,6.27,6.23,6.6,6.59
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,6.11,6.28,5.1,5.43,5.48,5.13,4.55,4.36,4.32,4.69,4.65
Short-Term Debt,6.19,10.08,2.08,2.63,4.43,3.74,3.88,2.97,1.4,3.09,4.88
Taxes Payable,,,,,,0.68,0.83,0.6,0.79,0.69,
Accrued Liabilities,4.09,1.15,0.96,0.59,0.89,2.96,2.91,3.05,2.64,2.85,
Other Short-Term Liabilities,3.42,5.31,4.52,5.16,4.71,1.19,0.99,1.59,1.2,1.5,4.81
Total Current Liabilities,19.8,22.82,12.66,13.81,15.5,13.7,13.15,12.57,10.33,12.82,14.34
Long-Term Debt,25.14,28.41,33.23,33.75,35.69,36.95,39.62,43.78,48.99,46.13,40.46
Other Long-Term Liabilities,16.63,18.06,16.99,14.51,15.25,15.82,14.59,15.25,16.71,15.08,14.5
Total Liabilities,61.58,69.29,62.88,62.08,66.45,66.48,67.37,71.6,76.04,74.03,69.3
Total Stockholders' Equity,38.42,30.71,37.12,37.92,33.55,33.52,32.63,28.4,23.96,25.97,30.7
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
