Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1062.0,1274.0,1462.0,1642.0,1860.0,2204.0,2376.0,2554.0,2774.0,2898.0,3308.0
Gross Margin %,60.9,62.7,65.5,64.4,64.2,64.4,63.7,62.7,63.2,60.4,53.6
Operating Income USD Mil,218.0,251.0,293.0,323.0,332.0,307.0,357.0,405.0,457.0,425.0,390.0
Operating Margin %,20.5,19.7,20.0,19.7,17.8,13.9,15.0,15.9,16.5,14.7,11.8
Net Income USD Mil,143.0,163.0,37.0,203.0,209.0,188.0,216.0,245.0,278.0,272.0,241.0
Earnings Per Share USD,0.88,1.0,0.23,1.24,1.3,1.19,1.38,1.69,2.06,2.04,1.64
Dividends USD,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Payout Ratio % *,,,,,,,,,,,2.4
Shares Mil,163.0,162.0,162.0,164.0,161.0,159.0,156.0,145.0,135.0,133.0,145.0
Book Value Per Share * USD,,,,,,,,,,,22.19
Operating Cash Flow USD Mil,191.0,272.0,383.0,466.0,710.0,-173.0,241.0,194.0,425.0,585.0,324.0
Cap Spending USD Mil,-35.0,-45.0,-41.0,-56.0,-99.0,-110.0,-99.0,-81.0,-93.0,-92.0,-139.0
Free Cash Flow USD Mil,156.0,227.0,342.0,410.0,611.0,-283.0,142.0,113.0,332.0,493.0,186.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,302.0,400.0,259.0,296.0,404.0,411.0,510.0,432.0,286.0,421.0,
