Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,308.0,1926.0,2217.0,2078.0,2037.0,1720.0,1609.0,1704.0,1370.0,1941.0,2238.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,-2178.0,-948.0,-524.0,156.0,361.0,203.0,191.0,452.0,91.0,838.0,970.0
Operating Margin %,-708.0,-49.2,-23.7,7.5,17.7,11.8,11.9,26.5,6.6,43.2,43.3
Net Income USD Mil,-1442.0,-512.0,-1298.0,-28.0,157.0,-113.0,86.0,293.0,268.0,552.0,612.0
Earnings Per Share USD,-34.0,-10.0,-11.85,-0.13,0.54,-0.39,0.29,1.0,0.91,1.98,2.13
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,42.0,51.0,110.0,211.0,290.0,286.0,293.0,294.0,295.0,279.0,276.0
Book Value Per Share * USD,61.38,48.19,19.8,18.35,17.33,17.14,16.81,18.23,19.95,21.61,23.34
Operating Cash Flow USD Mil,795.0,2247.0,972.0,1049.0,1096.0,-159.0,1117.0,701.0,832.0,1625.0,1538.0
Cap Spending USD Mil,-129.0,-110.0,-86.0,-82.0,-89.0,-80.0,-47.0,-87.0,-70.0,-75.0,-101.0
Free Cash Flow USD Mil,666.0,2137.0,886.0,967.0,1007.0,-239.0,1070.0,614.0,762.0,1550.0,1437.0
Free Cash Flow Per Share * USD,15.69,41.91,8.09,4.58,1.54,-0.83,1.14,1.77,3.13,2.9,
Working Capital USD Mil,,,,,,,,,,,
