Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2665.0,2937.0,2955.0,3034.0,3449.0,4030.0,4771.0,5763.0,6672.0,8774.0,9833.0
Gross Margin %,78.9,78.3,79.5,77.4,77.9,77.7,78.2,79.5,80.4,81.8,82.8
Operating Income USD Mil,529.0,-2429.0,571.0,501.0,480.0,432.0,366.0,518.0,414.0,462.0,659.0
Operating Margin %,19.9,-82.7,19.3,16.5,13.9,10.7,7.7,9.0,6.2,5.3,6.7
Net Income USD Mil,296.0,-2518.0,300.0,422.0,472.0,280.0,233.0,398.0,764.0,282.0,402.0
Earnings Per Share USD,1.88,-17.6,2.06,2.93,3.41,2.0,1.67,2.99,5.7,1.82,2.57
Dividends USD,,,,0.56,0.56,0.44,0.56,0.66,0.84,1.0,1.12
Payout Ratio % *,,,,19.1,16.6,20.4,52.9,19.9,12.2,85.2,43.6
Shares Mil,157.0,143.0,146.0,144.0,139.0,140.0,140.0,133.0,134.0,155.0,156.0
Book Value Per Share * USD,33.74,16.23,18.53,19.51,21.69,16.85,16.93,14.83,16.25,25.9,30.19
Operating Cash Flow USD Mil,712.0,521.0,676.0,777.0,1030.0,1230.0,763.0,1367.0,1368.0,1564.0,1943.0
Cap Spending USD Mil,-87.0,-160.0,-92.0,-155.0,-208.0,-236.0,-309.0,-328.0,-787.0,-749.0,-707.0
Free Cash Flow USD Mil,625.0,361.0,584.0,622.0,822.0,994.0,455.0,1039.0,581.0,815.0,1235.0
Free Cash Flow Per Share * USD,3.98,2.47,4.0,4.32,6.08,7.1,3.24,7.78,4.74,4.26,
Working Capital USD Mil,-729.0,-367.0,-610.0,-188.0,-279.0,-368.0,-1075.0,-1262.0,-2947.0,-2677.0,
