Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,,,,12542.0,12413.0,12394.0,12656.0
Gross Margin %,,,,,,,,17.5,18.6,20.8,20.4
Operating Income USD Mil,,,,,,,,1300.0,1375.0,1509.0,1609.0
Operating Margin %,,,,,,,,10.4,11.1,12.2,12.7
Net Income USD Mil,,,,,,,,268.0,-322.0,-941.0,-605.0
Earnings Per Share USD,,,,,,,,0.63,-0.93,-2.31,-1.53
Dividends USD,,,,,,,,,,0.09,0.27
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,393.0,420.0,438.0,442.0
Book Value Per Share * USD,,,,,,,,,,,234.84
Operating Cash Flow USD Mil,,,,,,,,1674.0,1582.0,870.0,751.0
Cap Spending USD Mil,,,,,,,,-1219.0,-1180.0,-1125.0,-671.0
Free Cash Flow USD Mil,,,,,,,,455.0,402.0,-255.0,80.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,,,,,,,,,2742.0,3143.0,
