Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,,,5.0,6.0,6.0,4.0,6.0,5.0,7.0,7.0
Gross Margin %,,,,83.3,83.5,78.6,88.2,85.1,88.3,85.7,89.3
Operating Income GBP Mil,,,,1.0,0.0,-1.0,-3.0,-0.0,-1.0,0.0,-0.0
Operating Margin %,,,,19.1,0.3,-25.6,-71.3,-5.2,-17.2,1.7,-1.8
Net Income GBP Mil,,,,1.0,-0.0,-2.0,-3.0,-0.0,-1.0,0.0,0.0
Earnings Per Share GBP,,,,0.04,,-0.26,-0.21,-0.01,-0.04,0.01,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,17.0,17.0,6.0,13.0,16.0,17.0,19.0,20.0
Book Value Per Share * GBP,,,,,,,0.2,0.1,0.11,0.12,0.13
Operating Cash Flow GBP Mil,,,,1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0
Cap Spending GBP Mil,,,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow GBP Mil,,,,1.0,0.0,-1.0,-2.0,-1.0,-1.0,0.0,0.0
Free Cash Flow Per Share * GBP,,,,,,,-0.09,-0.11,-0.02,-0.06,
Working Capital GBP Mil,,,,-1.0,-1.0,-2.0,2.0,2.0,1.0,2.0,
