Key Financials AUD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue AUD Mil,554.0,548.0,580.0,444.0,573.0,427.0,319.0,342.0,215.0,194.0,127.0
Gross Margin %,26.7,28.0,28.0,31.2,23.5,27.0,14.1,21.7,2.3,2.4,1.2
Operating Income AUD Mil,63.0,68.0,65.0,34.0,26.0,38.0,-15.0,14.0,-30.0,-31.0,-18.0
Operating Margin %,11.3,12.3,11.2,7.7,4.5,8.8,-4.8,4.0,-14.1,-15.8,-14.0
Net Income AUD Mil,19.0,21.0,32.0,17.0,8.0,20.0,-13.0,4.0,-36.0,-38.0,-22.0
Earnings Per Share AUD,0.45,0.44,0.39,0.19,0.07,0.13,-0.08,0.02,-0.23,-0.23,-0.14
Dividends AUD,0.37,0.37,0.19,0.33,,0.11,0.11,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,42.0,48.0,81.0,90.0,115.0,159.0,159.0,159.0,159.0,159.0,159.0
Book Value Per Share * AUD,,,,,,,,1.55,1.57,1.16,1.02
Operating Cash Flow AUD Mil,,142.0,94.0,69.0,139.0,75.0,28.0,47.0,30.0,11.0,-0.0
Cap Spending AUD Mil,,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,,
Free Cash Flow AUD Mil,,141.0,93.0,68.0,139.0,75.0,26.0,46.0,30.0,11.0,6.0
Free Cash Flow Per Share * AUD,,,,,,,,0.27,0.22,-0.11,
Working Capital AUD Mil,-19.0,100.0,133.0,-188.0,114.0,95.0,71.0,25.0,-1.0,-2.0,
