Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,47.99,44.83,46.09,46.61,37.88,35.17,30.99,31.95,30.27,31.15,21.09
Accounts Receivable,10.87,9.95,7.15,8.44,10.17,10.33,11.87,10.3,9.81,10.0,9.16
Inventory,18.5,16.83,15.72,17.03,19.75,18.53,18.45,15.23,15.65,13.74,11.89
Other Current Assets,2.27,2.45,1.97,1.04,1.39,1.39,,,,,
Total Current Assets,79.63,74.06,70.93,73.13,69.19,65.42,61.32,57.48,55.73,54.89,42.14
Net PP&E,8.37,10.27,9.34,12.84,17.47,21.69,27.26,31.13,33.37,34.91,39.33
Intangibles,3.82,7.19,13.04,10.17,10.29,10.07,8.22,6.09,5.74,4.54,11.51
Other Long-Term Assets,8.17,8.48,6.7,3.85,3.04,2.83,3.2,5.31,5.15,5.66,7.01
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,43.1,43.23,40.58,42.83,44.09,40.91,37.68,30.2,31.17,30.35,22.62
Short-Term Debt,,0.71,,,,,,,,,
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,14.17,13.15,12.73,12.35,14.84,17.46,16.65,17.99,15.87,16.47,13.75
Other Short-Term Liabilities,,,,,,,2.89,3.34,4.76,5.72,4.47
Total Current Liabilities,57.27,57.08,53.31,55.18,58.93,58.37,57.22,51.53,51.8,52.54,40.84
Long-Term Debt,19.77,4.92,0.79,0.98,1.01,9.47,7.95,15.16,12.58,9.23,21.44
Other Long-Term Liabilities,4.5,5.86,7.84,7.33,9.38,6.99,10.56,13.6,15.17,15.12,16.33
Total Liabilities,81.54,67.86,61.94,63.48,69.31,74.84,75.73,80.29,79.55,76.88,78.61
Total Stockholders' Equity,18.46,32.14,38.06,36.52,30.69,25.16,24.27,19.71,20.45,23.12,21.39
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
