Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,2437.0,3650.0,3411.0,3191.0,3438.0,3120.0,3211.0,3500.0,3403.0,3705.0,3914.0
Gross Margin %,33.3,40.0,42.6,47.5,49.2,53.7,59.0,59.1,61.4,61.5,61.1
Operating Income USD Mil,366.0,640.0,603.0,631.0,696.0,690.0,688.0,754.0,720.0,839.0,969.0
Operating Margin %,15.0,17.5,17.7,19.8,20.2,22.1,21.4,21.5,21.2,22.6,24.8
Net Income USD Mil,518.0,314.0,266.0,395.0,387.0,352.0,385.0,414.0,428.0,108.0,263.0
Earnings Per Share USD,3.46,1.55,1.25,1.91,2.15,2.04,2.25,2.39,2.5,0.64,1.55
Dividends USD,,,,,,0.39,0.52,0.58,0.9,1.21,1.4
Payout Ratio % *,,,,,,19.1,26.8,20.7,37.6,40.1,90.3
Shares Mil,150.0,205.0,215.0,207.0,180.0,173.0,171.0,173.0,171.0,169.0,169.0
Book Value Per Share * USD,15.88,21.19,23.31,26.84,28.73,31.45,35.75,36.24,33.75,34.54,34.5
Operating Cash Flow USD Mil,173.0,408.0,582.0,440.0,669.0,594.0,574.0,687.0,685.0,722.0,839.0
Cap Spending USD Mil,-18.0,-55.0,-59.0,-42.0,-88.0,-87.0,-115.0,-140.0,-133.0,-134.0,-151.0
Free Cash Flow USD Mil,155.0,353.0,523.0,398.0,581.0,507.0,459.0,547.0,552.0,588.0,688.0
Free Cash Flow Per Share * USD,1.03,1.73,2.44,1.93,3.02,2.94,2.76,2.98,3.57,3.19,
Working Capital USD Mil,1271.0,374.0,587.0,279.0,543.0,565.0,363.0,420.0,340.0,478.0,
