Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,128.0,175.0,150.0,187.0,259.0,237.0,202.0,251.0,196.0,246.0,307.0
Gross Margin %,43.5,44.6,41.2,36.6,40.1,39.9,33.9,34.5,21.9,26.5,26.6
Operating Income USD Mil,54.0,75.0,60.0,83.0,120.0,79.0,153.0,45.0,23.0,56.0,72.0
Operating Margin %,41.8,43.2,39.9,44.5,46.2,33.1,75.9,18.0,11.7,22.7,23.6
Net Income USD Mil,31.0,42.0,37.0,51.0,77.0,47.0,94.0,31.0,10.0,35.0,45.0
Earnings Per Share USD,0.78,1.05,0.95,1.29,1.94,1.19,2.36,0.78,0.25,0.88,1.13
Dividends USD,0.11,0.14,0.05,0.05,0.05,0.06,0.04,0.05,0.05,0.02,0.03
Payout Ratio % *,13.7,13.8,5.3,3.8,2.9,4.8,3.7,1.6,,,3.5
Shares Mil,40.0,40.0,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
Book Value Per Share * USD,1.87,2.78,3.31,5.8,6.64,6.44,6.33,7.4,6.76,6.56,7.2
Operating Cash Flow USD Mil,47.0,54.0,33.0,56.0,84.0,58.0,42.0,74.0,25.0,39.0,60.0
Cap Spending USD Mil,-12.0,-20.0,-40.0,-44.0,-50.0,-49.0,-50.0,-50.0,-39.0,-30.0,-29.0
Free Cash Flow USD Mil,34.0,34.0,-7.0,13.0,34.0,9.0,-8.0,24.0,-13.0,8.0,31.0
Free Cash Flow Per Share * USD,0.44,0.58,-0.11,0.21,0.52,0.14,,0.52,0.02,-0.47,
Working Capital USD Mil,50.0,49.0,56.0,52.0,72.0,112.0,103.0,120.0,108.0,136.0,
