Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,42.98,40.53,40.89,45.71,43.72,45.36,49.34,41.24,40.81,39.6,35.02
Accounts Receivable,17.5,13.07,11.34,11.42,12.24,11.49,9.22,9.34,11.85,9.43,7.41
Inventory,,,,,,,,,,,
Other Current Assets,6.61,3.73,4.15,4.36,2.77,2.39,3.14,3.79,1.61,2.26,2.65
Total Current Assets,67.08,57.34,56.37,61.5,58.74,59.24,61.7,54.36,54.27,51.28,45.08
Net PP&E,3.63,4.98,4.15,3.03,3.24,2.67,2.84,3.24,3.07,3.31,3.57
Intangibles,22.99,27.09,25.78,21.93,23.76,21.99,24.25,31.4,29.12,34.57,39.75
Other Long-Term Assets,6.3,10.59,13.69,13.54,14.26,16.1,11.22,11.0,13.55,10.84,11.6
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.59,2.58,2.77,2.76,2.77,2.19,1.84,2.05,2.17,1.95,2.25
Short-Term Debt,,2.15,,,,,,,,8.31,
Taxes Payable,,,0.34,1.03,0.45,0.32,0.53,0.57,0.53,1.04,0.52
Accrued Liabilities,12.06,10.2,7.49,9.62,8.31,6.7,5.8,7.54,6.76,7.78,7.27
Other Short-Term Liabilities,18.14,18.13,18.17,17.8,18.04,15.02,15.15,18.33,19.38,26.47,32.11
Total Current Liabilities,33.8,33.05,28.77,31.2,29.56,24.22,23.32,28.49,28.85,45.55,42.15
Long-Term Debt,,,,,,17.31,16.24,15.21,26.97,22.76,38.18
Other Long-Term Liabilities,10.5,12.8,11.02,11.07,12.11,11.05,11.22,11.14,14.81,16.4,17.08
Total Liabilities,44.29,45.85,39.79,42.27,41.67,52.58,50.78,54.84,70.63,84.71,97.42
Total Stockholders' Equity,55.71,54.15,60.21,57.73,58.33,47.42,49.22,45.16,29.37,15.29,2.58
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
