Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.13,4.22,2.14,1.51,1.17,1.14,5.78,4.3,1.64,1.93,0.97
Accounts Receivable,4.94,3.79,2.54,2.84,2.69,2.87,3.21,2.24,2.06,3.45,2.61
Inventory,1.83,1.77,1.94,1.8,1.78,1.96,1.63,1.37,1.65,1.73,1.66
Other Current Assets,5.2,2.91,4.57,4.46,4.77,2.2,2.05,2.2,1.09,0.23,1.8
Total Current Assets,13.1,12.69,11.2,10.6,10.41,8.17,12.67,10.11,6.44,7.35,7.04
Net PP&E,83.87,84.29,86.64,68.6,86.66,88.88,85.49,88.43,92.38,91.52,91.6
Intangibles,,,,,,,,,,,
Other Long-Term Assets,3.03,3.02,2.16,20.8,2.93,2.95,1.84,1.46,1.18,1.13,1.36
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.46,3.21,,,3.28,2.64,2.7,2.66,2.12,2.81,
Short-Term Debt,13.21,11.71,1.24,0.32,0.59,0.94,4.47,5.87,4.27,2.34,4.36
Taxes Payable,,,,,0.18,0.45,0.25,0.31,0.23,0.41,
Accrued Liabilities,6.63,1.13,,,1.32,2.42,1.12,1.37,1.0,1.57,
Other Short-Term Liabilities,,4.1,6.25,7.32,1.72,0.19,1.3,0.91,1.47,1.31,5.81
Total Current Liabilities,22.29,20.14,7.5,7.64,7.09,6.64,9.83,11.11,9.08,8.44,10.16
Long-Term Debt,22.42,26.62,34.89,28.75,25.96,24.2,24.97,22.75,24.52,25.76,24.6
Other Long-Term Liabilities,20.25,18.12,20.03,20.51,22.17,20.75,19.87,19.72,19.47,19.41,20.29
Total Liabilities,64.97,64.88,62.42,56.9,55.22,51.58,54.67,53.58,53.07,53.62,55.05
Total Stockholders' Equity,35.03,35.12,37.58,43.1,44.78,48.42,45.33,46.42,46.93,46.38,44.95
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
