Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,57.41,39.44,52.49,63.59,38.21,44.28,44.46,46.02,45.51,45.86,40.0
Accounts Receivable,20.13,18.74,15.35,13.72,14.1,13.09,13.61,13.13,13.68,17.72,18.93
Inventory,1.31,0.7,0.58,0.53,1.45,2.0,1.68,1.61,1.68,1.94,2.18
Other Current Assets,3.98,4.8,5.14,3.64,5.52,4.87,5.7,5.75,2.3,2.73,3.75
Total Current Assets,82.83,63.69,73.56,81.48,59.27,64.23,65.45,66.51,63.18,68.26,64.86
Net PP&E,11.37,9.66,7.03,6.43,8.31,10.47,9.1,9.12,11.78,12.55,17.43
Intangibles,4.98,2.96,1.54,0.56,28.56,19.17,10.26,8.31,6.83,5.87,5.31
Other Long-Term Assets,0.82,23.69,17.88,11.53,3.86,6.12,15.19,16.06,18.21,13.32,12.41
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.14,2.0,1.72,1.63,3.44,2.96,2.46,2.93,4.16,2.05,2.71
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,1.02,1.15,0.77,0.89,0.76,0.64,0.66,1.13
Accrued Liabilities,17.9,13.7,12.05,9.75,9.56,8.67,8.43,7.56,7.46,8.96,9.11
Other Short-Term Liabilities,5.55,5.98,9.09,7.1,8.67,8.19,9.29,9.18,11.18,13.71,14.23
Total Current Liabilities,27.59,21.68,22.87,19.49,22.81,20.6,21.07,20.43,23.45,25.38,27.18
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,0.07,0.08,0.27,1.3,1.6,2.54,2.74,3.38,3.37,3.33,3.2
Total Liabilities,27.66,21.77,23.14,20.8,24.41,23.14,23.82,23.81,26.82,28.7,30.38
Total Stockholders' Equity,72.34,78.23,76.86,79.2,75.59,76.86,76.18,76.19,73.18,71.3,69.62
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
