Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,25.73,31.54,25.46,37.75,40.42,29.06,21.77,14.48,11.23,9.94,9.66
Accounts Receivable,6.65,7.02,7.36,6.5,5.0,6.84,6.1,5.36,3.5,2.74,2.41
Inventory,0.29,0.26,0.35,0.48,0.23,0.37,0.35,0.17,0.09,,
Other Current Assets,4.36,3.87,2.32,2.75,9.51,10.18,10.64,20.89,42.17,14.45,16.84
Total Current Assets,37.02,42.7,35.5,47.48,55.15,46.45,38.86,40.9,57.0,27.13,28.91
Net PP&E,9.87,9.78,10.51,9.02,7.65,11.38,11.14,9.2,6.46,4.7,4.7
Intangibles,52.21,46.53,52.67,37.96,23.27,37.75,46.24,33.28,35.42,67.5,64.69
Other Long-Term Assets,0.9,0.99,1.32,5.54,13.93,4.41,3.76,16.63,1.12,0.67,1.7
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.8,9.56,,,0.6,0.44,0.59,0.33,0.39,0.24,
Short-Term Debt,,0.11,2.36,11.15,10.64,10.86,8.31,11.39,11.31,4.89,4.73
Taxes Payable,,,0.57,0.32,0.23,0.46,0.6,0.31,0.25,,
Accrued Liabilities,7.83,,,,1.11,1.34,1.27,1.52,0.99,0.86,
Other Short-Term Liabilities,2.27,5.39,17.11,21.51,30.53,18.05,11.75,16.6,39.12,17.13,20.71
Total Current Liabilities,11.9,15.06,20.05,32.98,43.11,31.15,22.53,30.15,52.06,23.13,25.44
Long-Term Debt,,,10.0,13.39,8.01,8.8,28.52,34.24,29.0,41.67,38.09
Other Long-Term Liabilities,8.33,7.01,7.52,11.41,13.53,16.45,12.28,10.79,5.86,9.07,7.72
Total Liabilities,20.23,22.07,37.56,57.77,64.65,56.39,63.33,75.19,86.92,73.87,71.25
Total Stockholders' Equity,79.77,77.93,62.44,42.23,35.35,43.61,36.67,24.81,13.08,26.13,28.75
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
