Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5329.0,5263.0,3962.0,5653.0,7114.0,7183.0,7437.0,8305.0,8023.0,9071.0,9471.0
Gross Margin %,17.8,15.9,14.2,19.3,19.8,20.4,20.9,21.1,21.2,21.3,21.7
Operating Income USD Mil,425.0,7.0,50.0,504.0,798.0,752.0,855.0,964.0,940.0,226.0,410.0
Operating Margin %,8.0,0.1,1.3,8.9,11.2,10.5,11.5,11.6,11.7,2.5,4.3
Net Income USD Mil,289.0,-36.0,27.0,377.0,550.0,500.0,624.0,655.0,610.0,119.0,293.0
Earnings Per Share USD,1.23,-0.15,0.12,1.53,2.22,2.09,2.7,2.86,2.7,0.55,1.42
Dividends USD,0.17,0.22,0.06,,,,0.25,0.51,0.52,0.53,0.56
Payout Ratio % *,13.9,,52.2,,,,4.8,17.6,18.9,21.1,39.4
Shares Mil,236.0,232.0,234.0,259.0,257.0,243.0,231.0,229.0,226.0,215.0,212.0
Book Value Per Share * USD,9.99,8.66,9.35,10.05,11.08,13.34,14.77,16.48,16.95,17.48,18.15
Operating Cash Flow USD Mil,604.0,401.0,351.0,538.0,708.0,879.0,718.0,801.0,867.0,1036.0,1067.0
Cap Spending USD Mil,-293.0,-369.0,-172.0,-277.0,-393.0,-407.0,-418.0,-563.0,-577.0,-501.0,-536.0
Free Cash Flow USD Mil,310.0,31.0,179.0,262.0,315.0,471.0,301.0,239.0,291.0,535.0,531.0
Free Cash Flow Per Share * USD,1.31,0.13,0.77,1.01,1.3,1.94,1.84,1.01,0.63,2.19,
Working Capital USD Mil,496.0,58.0,506.0,668.0,232.0,870.0,1174.0,803.0,778.0,819.0,
