Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,3575.0,3619.0,3108.0,3375.0,3291.0,4079.0,3642.0,3490.0,3388.0,3275.0,3318.0
Gross Margin %,22.8,23.0,30.1,25.1,27.6,28.8,28.2,25.4,28.8,33.6,29.7
Operating Income THB Mil,459.0,507.0,593.0,514.0,462.0,787.0,805.0,558.0,613.0,709.0,591.0
Operating Margin %,12.8,14.0,19.1,15.2,14.0,19.3,22.1,16.0,18.1,21.6,17.8
Net Income THB Mil,325.0,362.0,424.0,422.0,332.0,601.0,651.0,443.0,488.0,564.0,471.0
Earnings Per Share THB,0.93,1.05,1.23,1.22,0.96,1.74,1.89,1.28,1.41,1.64,1.37
Dividends THB,0.25,0.38,0.42,0.5,0.5,0.5,1.3,0.5,1.05,0.7,0.8
Payout Ratio % *,26.6,26.6,36.1,40.6,36.9,37.6,50.2,65.2,80.2,42.4,58.4
Shares Mil,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0,345.0
Book Value Per Share * THB,6.99,6.99,7.65,8.88,9.65,10.48,11.38,11.86,12.13,13.09,13.65
Operating Cash Flow THB Mil,-9.0,613.0,697.0,402.0,161.0,487.0,762.0,350.0,1049.0,563.0,401.0
Cap Spending THB Mil,-80.0,,-55.0,-65.0,-70.0,-107.0,-166.0,-158.0,-139.0,-1122.0,-44.0
Free Cash Flow THB Mil,-89.0,613.0,642.0,336.0,91.0,380.0,596.0,192.0,910.0,-559.0,357.0
Free Cash Flow Per Share * THB,-0.26,-0.26,1.78,0.92,0.17,0.93,0.63,1.46,2.57,-1.78,
Working Capital THB Mil,1826.0,2005.0,2340.0,2580.0,2734.0,3146.0,3273.0,3454.0,3609.0,2912.0,
