Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,22.23,22.72,25.37,26.24,24.89,5.84,5.11
Accounts Receivable,,,,,30.84,30.53,33.58,33.66,32.62,9.32,9.8
Inventory,,,,,,,,,,,
Other Current Assets,,,,,5.71,7.17,4.49,5.02,3.92,0.58,0.65
Total Current Assets,,,,,58.78,60.42,63.44,64.92,61.43,15.73,15.56
Net PP&E,,,,,8.0,7.76,6.51,5.76,4.8,1.91,1.91
Intangibles,,,,,23.57,23.02,23.08,22.53,27.71,80.71,80.93
Other Long-Term Assets,,,,,9.65,8.8,6.97,6.8,6.06,1.64,1.6
Total Assets,,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,3.01,3.39,3.28,3.29,3.71,1.18,
Short-Term Debt,,,,,,,,,,,0.46
Taxes Payable,,,,,2.02,0.39,1.17,1.68,0.9,0.36,0.27
Accrued Liabilities,,,,,26.56,26.69,24.82,22.19,19.38,7.04,
Other Short-Term Liabilities,,,,,19.72,22.27,19.06,17.36,16.63,4.18,11.98
Total Current Liabilities,,,,,51.32,52.74,48.33,44.52,40.6,12.75,12.71
Long-Term Debt,,,,,,,,,,,43.0
Other Long-Term Liabilities,,,,,90.45,101.66,73.43,76.77,73.77,46.54,11.93
Total Liabilities,,,,,141.77,154.4,121.76,121.3,114.37,59.29,67.64
Total Stockholders' Equity,,,,,-41.77,-54.4,-21.76,-21.3,-14.37,40.71,32.36
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
