Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,16474.0,16389.0,17178.0,18391.0,18804.0,19279.0,19031.0,19023.0,19204.0,18686.0,18524.0
Gross Margin %,36.5,36.9,37.8,38.2,38.2,36.3,36.5,36.4,36.1,36.1,36.2
Operating Income USD Mil,1804.0,1536.0,1859.0,2092.0,2158.0,1890.0,1742.0,1689.0,1553.0,1183.0,1323.0
Operating Margin %,11.0,9.4,10.8,11.4,11.5,9.8,9.2,8.9,8.1,6.3,7.1
Net Income USD Mil,1084.0,885.0,973.0,1120.0,1167.0,986.0,889.0,867.0,673.0,556.0,644.0
Earnings Per Share USD,3.39,2.89,3.17,3.66,4.3,4.17,4.05,4.24,3.46,3.11,3.75
Dividends USD,,,,,1.0,1.28,1.4,1.56,1.8,2.0,2.15
Payout Ratio % *,,,,,,28.2,33.1,38.2,,,57.3
Shares Mil,320.0,307.0,306.0,306.0,271.0,237.0,220.0,204.0,195.0,179.0,170.0
Book Value Per Share * USD,,,,,,337.87,369.89,427.42,,,574.44
Operating Cash Flow USD Mil,1234.0,1701.0,2234.0,1676.0,2143.0,1265.0,1884.0,2024.0,1474.0,2148.0,1733.0
Cap Spending USD Mil,-1542.0,-1014.0,-666.0,-761.0,-927.0,-785.0,-643.0,-682.0,-690.0,-768.0,-724.0
Free Cash Flow USD Mil,-307.0,687.0,1568.0,915.0,1216.0,480.0,1241.0,1342.0,784.0,1380.0,1009.0
Free Cash Flow Per Share * USD,,,,,,49.17,58.05,75.49,,,
Working Capital USD Mil,1952.0,1885.0,3095.0,2935.0,2185.0,2184.0,2556.0,2839.0,2362.0,2273.0,
