Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,18634.0,20372.0,21836.0,23076.0,24287.0,22603.0,23113.0,19615.0,19959.0,21222.0,22471.0
Gross Margin %,77.2,78.5,80.6,81.1,79.1,78.8,78.8,74.9,74.8,73.4,73.7
Operating Income USD Mil,4057.0,-1282.0,5587.0,6525.0,5529.0,5015.0,5491.0,3129.0,3057.0,3841.0,3610.0
Operating Margin %,21.8,-6.3,25.6,28.3,22.8,22.2,23.8,15.9,15.3,18.1,16.1
Net Income USD Mil,2953.0,-2072.0,4329.0,5070.0,4347.0,4088.0,4685.0,2391.0,2408.0,2737.0,2224.0
Earnings Per Share USD,2.71,-1.89,3.94,4.58,3.9,3.66,4.32,2.23,2.26,2.58,2.1
Dividends USD,,,,,,0.98,1.96,1.96,2.0,2.04,2.58
Payout Ratio % *,,,,,,13.2,44.8,78.4,89.6,66.1,122.9
Shares Mil,1091.0,1094.0,1098.0,1106.0,1114.0,1117.0,1085.0,1074.0,1066.0,1062.0,1059.0
Book Value Per Share * USD,7.76,8.56,6.01,8.27,10.04,10.58,11.0,13.09,12.61,13.4,11.52
Operating Cash Flow USD Mil,5155.0,7296.0,4336.0,6857.0,7235.0,5305.0,5735.0,4367.0,2773.0,4851.0,5879.0
Cap Spending USD Mil,-1082.0,-947.0,-855.0,-1187.0,-1693.0,-1044.0,-1093.0,-1471.0,-1066.0,-1037.0,-2080.0
Free Cash Flow USD Mil,4072.0,6348.0,3481.0,5670.0,5542.0,4261.0,4641.0,2896.0,1706.0,3814.0,3798.0
Free Cash Flow Per Share * USD,2.29,3.94,2.56,3.69,4.05,3.22,3.07,2.36,1.35,2.6,
Working Capital USD Mil,6989.0,-656.0,5918.0,7739.0,5317.0,4649.0,4188.0,972.0,4344.0,4115.0,
