Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,,,,8983.0,10824.0,12987.0,13969.0,14492.0,14478.0,15115.0,15699.0
Gross Margin %,,,,65.9,66.2,67.4,66.9,65.6,65.9,67.2,67.9
Operating Income THB Mil,,,,1738.0,2256.0,2451.0,2526.0,2534.0,2303.0,2584.0,2960.0
Operating Margin %,,,,19.3,20.8,18.9,18.1,17.5,15.9,17.1,18.9
Net Income THB Mil,,,,1234.0,1618.0,2031.0,2039.0,2042.0,1856.0,2100.0,2418.0
Earnings Per Share THB,,,,,3.94,4.11,2.54,2.22,2.02,2.28,2.62
Dividends THB,,,,,,,,2.4,1.9,2.0,2.2
Payout Ratio % *,,,,,,,,114.8,87.2,89.3,83.9
Shares Mil,,,,,410.0,494.0,802.0,919.0,919.0,920.0,921.0
Book Value Per Share * THB,,,,,,,13.2,13.22,13.7,14.02,14.51
Operating Cash Flow THB Mil,,,,1855.0,2030.0,3111.0,2248.0,3031.0,2702.0,3090.0,3707.0
Cap Spending THB Mil,,,,-765.0,-658.0,-1149.0,-1714.0,-1346.0,-799.0,-667.0,-651.0
Free Cash Flow THB Mil,,,,1090.0,1372.0,1962.0,534.0,1685.0,1903.0,2423.0,3056.0
Free Cash Flow Per Share * THB,,,,,,,0.87,1.43,2.18,2.43,
Working Capital THB Mil,,,,-958.0,-1509.0,-2107.0,2665.0,7440.0,7773.0,8457.0,
