Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,,,,,,,,,,,
Gross Margin %,,,,,,,,,,,
Operating Income GBP Mil,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Operating Margin %,,,,,,,,,,,
Net Income GBP Mil,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Earnings Per Share GBP,,,,,,,,,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,193.0,201.0,245.0,296.0,304.0,351.0,544.0,742.0,1049.0,1694.0,1694.0
Book Value Per Share * GBP,0.01,0.01,0.01,0.01,0.01,,,,,,
Operating Cash Flow GBP Mil,-1.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0
Cap Spending GBP Mil,-0.0,-0.0,-0.0,-0.0,-0.0,,-0.0,-0.0,,-0.0,-0.0
Free Cash Flow GBP Mil,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * GBP,,,,,,,,,,,
Working Capital GBP Mil,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,
