Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,7389.0,7562.0,6710.0,7630.0,8630.0,8736.0,8468.0,8570.0,7997.0,9061.0,10760.0
Gross Margin %,15.7,16.1,17.8,18.0,18.0,17.9,18.8,19.5,19.2,19.5,20.2
Operating Income USD Mil,513.0,591.0,653.0,765.0,836.0,791.0,795.0,839.0,606.0,463.0,626.0
Operating Margin %,7.0,7.8,9.7,10.0,9.7,9.0,9.4,9.8,7.6,5.1,5.8
Net Income USD Mil,281.0,320.0,387.0,468.0,444.0,396.0,407.0,470.0,281.0,263.0,268.0
Earnings Per Share USD,0.69,0.82,1.02,1.27,1.31,1.25,1.36,1.65,0.99,0.81,0.74
Dividends USD,0.1,0.1,0.1,0.1,0.14,0.2,0.26,0.26,0.26,0.26,0.33
Payout Ratio % *,14.6,12.2,9.8,6.7,9.5,15.6,21.5,14.4,24.3,29.9,44.3
Shares Mil,411.0,388.0,380.0,367.0,337.0,316.0,298.0,285.0,282.0,323.0,358.0
Book Value Per Share * USD,3.44,2.86,4.2,4.41,4.39,3.72,3.97,4.43,3.66,10.62,10.08
Operating Cash Flow USD Mil,673.0,628.0,560.0,515.0,948.0,853.0,839.0,1013.0,1007.0,194.0,1374.0
Cap Spending USD Mil,-309.0,-306.0,-187.0,-250.0,-444.0,-305.0,-378.0,-391.0,-527.0,-606.0,-612.0
Free Cash Flow USD Mil,365.0,320.0,373.0,265.0,505.0,548.0,460.0,622.0,479.0,-412.0,762.0
Free Cash Flow Per Share * USD,0.89,0.83,0.98,0.72,0.41,1.73,1.68,2.64,1.64,-1.95,
Working Capital USD Mil,330.0,302.0,494.0,922.0,466.0,654.0,538.0,306.0,42.0,684.0,
