Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,44.67,51.38,49.13,51.19,53.09,50.01,49.53,53.24,54.05,54.3,54.85
Accounts Receivable,6.51,4.66,6.08,8.97,8.75,9.4,8.86,8.67,8.32,7.7,7.08
Inventory,2.1,1.58,1.64,1.71,1.81,1.46,1.51,1.43,1.0,1.24,1.3
Other Current Assets,7.51,7.23,6.54,3.85,3.84,3.88,3.94,3.88,1.34,1.23,1.19
Total Current Assets,60.78,64.84,63.38,65.71,67.5,64.75,63.84,67.22,64.71,64.48,64.42
Net PP&E,7.07,5.93,4.86,4.5,3.71,3.28,3.09,2.94,2.88,2.56,2.45
Intangibles,24.66,21.47,24.59,22.23,20.66,25.02,26.18,23.66,23.94,24.88,25.21
Other Long-Term Assets,7.5,7.75,7.17,7.57,8.14,6.94,6.9,6.19,8.47,8.08,7.91
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.48,0.99,1.1,1.01,0.94,1.02,0.98,0.97,0.87,1.07,0.88
Short-Term Debt,0.85,,3.82,0.68,0.03,3.24,0.48,3.43,3.42,6.16,7.84
Taxes Payable,,0.24,0.11,0.14,0.3,0.19,0.15,0.05,0.42,0.08,0.07
Accrued Liabilities,4.13,3.72,3.86,3.63,3.19,3.34,3.03,2.69,2.43,2.23,2.06
Other Short-Term Liabilities,17.13,15.09,14.82,14.65,14.86,14.14,14.2,13.67,13.34,11.72,11.58
Total Current Liabilities,23.59,20.04,23.71,20.1,19.32,21.93,18.84,20.82,20.48,21.25,22.44
Long-Term Debt,10.88,15.11,15.02,18.64,17.76,12.78,19.4,18.91,20.13,19.82,19.68
Other Long-Term Liabilities,7.03,8.12,6.71,7.04,7.02,6.87,7.87,7.67,7.13,7.99,7.66
Total Liabilities,41.51,43.27,45.44,45.78,44.11,41.58,46.11,47.39,47.73,49.05,49.78
Total Stockholders' Equity,58.49,56.73,54.56,54.22,55.89,58.42,53.89,52.61,52.27,50.95,50.22
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
