Key Financials JPY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue JPY Mil,172708.0,182814.0,193951.0,217013.0,230575.0,208289.0,223864.0,228400.0,246849.0,262398.0,262524.0
Gross Margin %,18.4,17.0,18.9,18.2,18.4,16.6,15.2,16.5,17.7,20.1,19.6
Operating Income JPY Mil,8330.0,8125.0,9891.0,8743.0,10828.0,3666.0,3307.0,6139.0,9236.0,12900.0,11275.0
Operating Margin %,4.8,4.4,5.1,4.0,4.7,1.8,1.5,2.7,3.7,4.9,4.3
Net Income JPY Mil,4074.0,1913.0,7239.0,5431.0,12796.0,8377.0,6128.0,8359.0,7476.0,10380.0,12465.0
Earnings Per Share JPY,19.19,9.01,34.38,26.21,62.68,41.07,30.49,44.31,38.57,52.99,64.02
Dividends JPY,,,,6.0,,12.0,12.0,12.0,12.0,12.0,12.0
Payout Ratio % *,,,,22.9,,13.4,48.4,27.8,35.9,19.6,18.7
Shares Mil,212.0,212.0,211.0,207.0,204.0,204.0,200.0,189.0,194.0,196.0,194.0
Book Value Per Share * JPY,4.06,4.88,5.35,5.79,6.37,6.3,6.09,6.66,7.02,7.65,7.4
Operating Cash Flow JPY Mil,12995.0,10000.0,36944.0,25859.0,29082.0,21363.0,18828.0,27858.0,20943.0,28918.0,25757.0
Cap Spending JPY Mil,-33213.0,-35776.0,-7429.0,-7125.0,-8238.0,-11425.0,-22418.0,-11362.0,-8379.0,-12932.0,-11851.0
Free Cash Flow JPY Mil,-20218.0,-25776.0,29515.0,18734.0,20844.0,9938.0,-3590.0,16496.0,12564.0,15986.0,13906.0
Free Cash Flow Per Share * JPY,-0.6,-0.93,1.12,0.77,0.71,0.81,0.11,0.39,0.37,0.74,
Working Capital JPY Mil,711.0,5113.0,-7200.0,5704.0,24853.0,37979.0,35043.0,21173.0,33358.0,56034.0,
