Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,5031.0,4894.0,4690.0,4979.0,4824.0,5255.0,5586.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,,,,,778.0,1024.0,-3468.0,1268.0,1263.0,1534.0,1823.0
Operating Margin %,,,,,15.5,20.9,-73.9,25.5,26.2,29.2,32.6
Net Income USD Mil,,,,,506.0,643.0,-3426.0,865.0,840.0,1045.0,1268.0
Earnings Per Share USD,,,,,,1.15,-6.12,1.55,1.55,1.97,2.46
Dividends USD,,,,,,,,0.1,0.4,0.46,0.58
Payout Ratio % *,,,,,,,,,26.9,23.9,23.6
Shares Mil,,,,,,560.0,560.0,558.0,538.0,524.0,509.0
Book Value Per Share * USD,,,,,,,,35.51,36.67,38.93,40.37
Operating Cash Flow USD Mil,,,,,2479.0,1714.0,2649.0,1390.0,1229.0,1490.0,1742.0
Cap Spending USD Mil,,,,,-368.0,-371.0,-368.0,-311.0,-299.0,-303.0,-386.0
Free Cash Flow USD Mil,,,,,2111.0,1343.0,2281.0,1079.0,930.0,1187.0,1356.0
Free Cash Flow Per Share * USD,,,,,,,,3.44,1.23,2.51,
Working Capital USD Mil,,,,,,,,,,,
