Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,6554.0,6962.0,6028.0,6507.0,7015.0,6956.0,7122.0,7537.0,7614.0,7847.0,7805.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,344.0,590.0,341.0,549.0,687.0,678.0,598.0,788.0,871.0,938.0,938.0
Operating Margin %,5.3,8.5,5.7,8.4,9.8,9.8,8.4,10.5,11.5,12.0,12.0
Net Income USD Mil,167.0,295.0,121.0,261.0,532.0,446.0,267.0,477.0,455.0,609.0,580.0
Earnings Per Share USD,0.26,0.52,0.19,0.47,0.99,0.94,0.61,1.12,1.09,1.49,1.44
Dividends USD,,,,,0.24,0.24,0.3,0.38,0.48,0.3,0.69
Payout Ratio % *,,,,,20.9,31.6,34.3,42.8,37.9,20.3,47.9
Shares Mil,503.0,518.0,508.0,542.0,541.0,481.0,430.0,425.0,415.0,408.0,400.0
Book Value Per Share * USD,2.96,2.8,,3.21,3.7,3.93,3.57,4.14,4.23,4.69,4.41
Operating Cash Flow USD Mil,298.0,865.0,540.0,817.0,274.0,357.0,592.0,670.0,674.0,513.0,401.0
Cap Spending USD Mil,-147.0,-138.0,-67.0,-96.0,-140.0,-169.0,-173.0,-148.0,-161.0,-200.0,-195.0
Free Cash Flow USD Mil,151.0,726.0,473.0,721.0,133.0,188.0,419.0,520.0,512.0,312.0,206.0
Free Cash Flow Per Share * USD,0.33,0.7,,0.69,0.58,0.18,0.34,0.89,1.45,1.58,
Working Capital USD Mil,565.0,611.0,732.0,713.0,254.0,1036.0,-81.0,346.0,108.0,-268.0,
