Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,56.72,67.09,21.17,41.16,40.02,50.12,38.53,26.57,20.41,2.43
Accounts Receivable,,9.44,7.53,20.11,15.11,18.47,18.3,23.6,24.98,27.34,4.42
Inventory,,,,,,,,,,,
Other Current Assets,,6.65,1.09,1.99,1.59,1.39,1.52,1.46,1.49,1.56,0.31
Total Current Assets,,72.81,75.72,43.26,57.85,59.88,69.94,63.59,53.05,49.32,7.16
Net PP&E,,18.11,16.81,34.24,24.92,23.3,16.35,18.69,16.96,12.77,1.57
Intangibles,,7.93,6.93,17.54,12.86,12.61,10.4,14.5,17.4,20.59,89.41
Other Long-Term Assets,,1.15,0.54,4.96,4.36,4.21,3.3,3.22,12.59,17.33,1.86
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,11.11,7.51,15.77,14.05,0.22,0.96,0.72,0.46,1.36,0.74
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,,,,,,,0.46,0.42,,0.08
Accrued Liabilities,,,,,0.03,13.14,11.07,14.56,11.03,9.76,1.38
Other Short-Term Liabilities,,7.21,75.04,3.44,1.87,2.03,12.31,3.44,7.32,7.73,2.35
Total Current Liabilities,,18.33,82.55,19.21,15.95,15.39,24.33,19.19,19.23,18.85,4.55
Long-Term Debt,,,,,,,,,,,25.1
Other Long-Term Liabilities,,4.75,4.38,11.58,11.99,14.04,11.24,15.67,13.29,14.44,15.3
Total Liabilities,,23.07,86.94,30.79,27.94,29.43,35.57,34.86,32.52,33.29,44.95
Total Stockholders' Equity,,76.93,13.06,69.21,72.06,70.57,64.43,65.14,67.48,66.71,55.05
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
