Key Financials AUD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue AUD Mil,1075.0,1122.0,1080.0,909.0,681.0,704.0,809.0,848.0,1576.0,2454.0,2454.0
Gross Margin %,59.8,58.1,52.1,54.5,53.6,54.7,53.8,54.5,56.9,60.6,60.6
Operating Income AUD Mil,328.0,317.0,130.0,-208.0,93.0,105.0,138.0,69.0,286.0,780.0,780.0
Operating Margin %,30.5,28.3,12.1,-22.9,13.6,14.9,17.1,8.1,18.1,31.8,31.8
Net Income AUD Mil,239.0,247.0,101.0,-158.0,77.0,66.0,107.0,-16.0,186.0,495.0,495.0
Earnings Per Share AUD,0.51,0.53,0.22,-0.31,0.14,0.12,0.19,-0.03,0.29,0.78,0.78
Dividends AUD,0.46,0.64,0.68,0.21,0.04,0.04,0.09,0.15,0.16,0.3,0.3
Payout Ratio % *,,,,,,,46.4,71.4,238.5,45.2,39.4
Shares Mil,470.0,468.0,460.0,505.0,532.0,536.0,553.0,567.0,636.0,639.0,639.0
Book Value Per Share * AUD,,,,,,,0.58,0.62,1.23,1.95,2.11
Operating Cash Flow AUD Mil,,222.0,116.0,141.0,-163.0,108.0,98.0,159.0,438.0,799.0,799.0
Cap Spending AUD Mil,,-54.0,-65.0,-63.0,-53.0,-58.0,-45.0,-90.0,-140.0,-214.0,-214.0
Free Cash Flow AUD Mil,,168.0,51.0,78.0,-216.0,50.0,54.0,69.0,298.0,584.0,584.0
Free Cash Flow Per Share * AUD,,,,,,,0.13,0.08,0.17,0.66,
Working Capital AUD Mil,131.0,112.0,103.0,-90.0,153.0,160.0,247.0,330.0,456.0,541.0,
