Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,8777.0,8838.0,8928.0,9833.0,10595.0,9442.0,10226.0,10939.0,11667.0,12379.0,12542.0
Gross Margin %,46.7,45.4,43.7,41.9,41.4,41.0,40.9,41.2,41.4,41.3,41.1
Operating Income USD Mil,1646.0,1792.0,1770.0,1810.0,1938.0,1624.0,1815.0,2014.0,2191.0,2327.0,2351.0
Operating Margin %,18.7,20.3,19.8,18.4,18.3,17.2,17.7,18.4,18.8,18.8,18.7
Net Income USD Mil,1236.0,1332.0,1211.0,1254.0,1389.0,1405.0,1516.0,1453.0,1493.0,1733.0,1766.0
Earnings Per Share USD,2.34,2.63,2.4,2.52,2.82,2.89,3.14,3.05,3.25,3.85,3.94
Dividends USD,,,0.34,1.42,1.54,1.7,1.88,1.46,1.55,1.67,1.71
Payout Ratio % *,,,14.1,56.4,54.3,57.8,61.4,43.0,47.4,56.9,43.4
Shares Mil,527.0,506.0,503.0,498.0,492.0,487.0,483.0,476.0,459.0,450.0,448.0
Book Value Per Share * USD,6.33,,9.14,8.45,10.72,10.43,10.1,9.9,8.88,8.06,7.59
Operating Cash Flow USD Mil,1787.0,1562.0,1682.0,1705.0,1910.0,1577.0,1821.0,1905.0,1860.0,2126.0,2040.0
Cap Spending USD Mil,-278.0,-254.0,-226.0,-277.0,-249.0,-282.0,-367.0,-336.0,-386.0,-471.0,-507.0
Free Cash Flow USD Mil,1509.0,1309.0,1455.0,1428.0,1660.0,1294.0,1454.0,1570.0,1474.0,1655.0,1533.0
Free Cash Flow Per Share * USD,1.82,,2.37,1.98,2.62,1.94,2.18,3.14,2.45,3.59,
Working Capital USD Mil,1467.0,1947.0,2265.0,1797.0,1916.0,1468.0,1925.0,1696.0,3653.0,2843.0,
