Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,25.0,21.0,13.0,19.0,24.0,23.0,19.0,21.0,17.0,22.0,23.0
Gross Margin %,63.7,57.9,67.2,69.4,68.8,64.1,56.3,64.3,57.8,56.3,55.1
Operating Income EUR Mil,-12.0,1.0,-2.0,2.0,4.0,1.0,-1.0,-2.0,-1.0,1.0,1.0
Operating Margin %,-47.5,2.6,-12.7,9.8,17.4,2.6,-3.8,-9.3,-6.8,3.2,5.3
Net Income EUR Mil,-65.0,0.0,-3.0,1.0,7.0,4.0,-2.0,-2.0,-1.0,1.0,2.0
Earnings Per Share EUR,-13.1,,-0.5,0.07,1.23,0.6,-0.28,-0.31,-0.16,0.16,0.25
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Book Value Per Share * EUR,8.98,0.94,0.98,0.68,1.43,1.81,2.2,1.91,1.53,1.43,1.68
Operating Cash Flow EUR Mil,-29.0,-2.0,1.0,4.0,4.0,1.0,1.0,-0.0,-0.0,0.0,2.0
Cap Spending EUR Mil,,,,,-1.0,-1.0,-2.0,-1.0,-0.0,-0.0,
Free Cash Flow EUR Mil,-29.0,-2.0,1.0,4.0,3.0,-0.0,-1.0,-1.0,-1.0,-0.0,1.0
Free Cash Flow Per Share * EUR,0.71,-5.93,-0.44,0.71,0.56,0.29,-0.18,-0.31,-0.03,-0.17,
Working Capital EUR Mil,,6.0,3.0,2.0,4.0,4.0,5.0,3.0,2.0,3.0,
