Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,,,2021.0,2023.0,2069.0,2118.0,2068.0,2238.0,2355.0
Gross Margin %,,,,,40.1,40.8,41.6,40.3,42.0,44.0,43.9
Operating Income USD Mil,,,,,359.0,371.0,241.0,326.0,359.0,426.0,456.0
Operating Margin %,,,,,17.8,18.4,11.6,15.4,17.3,19.0,19.4
Net Income USD Mil,,,,,218.0,220.0,32.0,175.0,154.0,229.0,339.0
Earnings Per Share USD,,,,,2.27,2.29,0.34,1.8,1.59,2.36,3.52
Dividends USD,,,,,,,,0.32,0.4,0.48,0.6
Payout Ratio % *,,,,,,,,14.7,31.1,19.7,17.1
Shares Mil,,,,,96.0,96.0,96.0,97.0,97.0,97.0,96.0
Book Value Per Share * USD,,,,,,,13.21,-0.32,0.15,1.59,3.86
Operating Cash Flow USD Mil,,,,,266.0,269.0,224.0,256.0,257.0,378.0,369.0
Cap Spending USD Mil,,,,,-26.0,-20.0,-20.0,-52.0,-35.0,-43.0,-49.0
Free Cash Flow USD Mil,,,,,240.0,249.0,203.0,204.0,222.0,335.0,319.0
Free Cash Flow Per Share * USD,,,,,,,2.21,1.96,1.76,2.85,
Working Capital USD Mil,,,,,,527.0,432.0,443.0,288.0,399.0,
