Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,7057.0,7590.0,7747.0,9291.0,10276.0,11172.0,11095.0,11362.0,12845.0,15024.0,15309.0
Gross Margin %,74.8,74.9,73.8,74.3,72.9,71.7,72.6,69.0,68.3,65.4,65.7
Operating Income EUR Mil,200.0,731.0,645.0,1109.0,1132.0,964.0,1610.0,1762.0,1843.0,2481.0,2689.0
Operating Margin %,2.8,9.6,8.3,11.9,11.0,8.6,14.5,15.5,14.3,16.5,17.6
Net Income EUR Mil,3520.0,379.0,376.0,642.0,607.0,567.0,1202.0,1157.0,1115.0,1629.0,1856.0
Earnings Per Share EUR,8.11,0.84,0.84,1.46,1.4,1.3,2.77,2.66,2.56,3.75,4.27
Dividends EUR,,,,,,,0.85,0.95,1.0,1.05,1.2
Payout Ratio % *,,,,,,,30.9,37.1,34.3,30.7,28.1
Shares Mil,432.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,436.0,435.0,435.0
Book Value Per Share * EUR,8.69,19.84,21.86,24.09,23.9,24.18,24.69,26.98,32.1,29.72,31.58
Operating Cash Flow EUR Mil,1218.0,1024.0,1371.0,1782.0,1271.0,2472.0,2226.0,2706.0,2195.0,2518.0,2842.0
Cap Spending EUR Mil,-403.0,-536.0,-563.0,-500.0,-446.0,-473.0,-517.0,-624.0,-693.0,-848.0,-1207.0
Free Cash Flow EUR Mil,814.0,488.0,807.0,1282.0,825.0,1999.0,1709.0,2081.0,1502.0,1670.0,1635.0
Free Cash Flow Per Share * EUR,1.27,1.89,1.12,2.67,2.8,3.9,3.85,3.33,4.38,3.81,
Working Capital EUR Mil,1254.0,1980.0,2712.0,2304.0,2035.0,2065.0,3485.0,3879.0,-2032.0,-1416.0,
