Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5860.0,5948.0,5395.0,6632.0,7890.0,8012.0,7819.0,9715.0,9111.0,9390.0,9955.0
Gross Margin %,46.9,46.0,38.8,46.0,45.3,41.4,42.5,41.7,40.1,39.9,40.1
Operating Income USD Mil,1081.0,1520.0,391.0,1801.0,1712.0,1179.0,1371.0,1931.0,1322.0,1391.0,1690.0
Operating Margin %,18.4,25.6,7.2,27.2,21.7,14.7,17.5,19.9,14.5,14.8,17.0
Net Income USD Mil,2150.0,5257.0,2008.0,3558.0,2817.0,1636.0,1961.0,2472.0,1339.0,3695.0,2487.0
Earnings Per Share USD,1.34,3.32,1.28,2.25,1.78,1.09,1.34,1.73,1.0,3.23,2.31
Dividends USD,,,,,,0.17,0.39,0.4,0.36,0.41,0.6
Payout Ratio % *,,,,,,5.9,31.4,30.1,22.4,19.6,25.9
Shares Mil,1566.0,1584.0,1568.0,1581.0,1583.0,1506.0,1462.0,1427.0,1343.0,1144.0,1040.0
Book Value Per Share * USD,3.82,6.12,6.72,7.9,11.03,11.22,11.31,12.58,14.34,15.75,14.72
Operating Cash Flow USD Mil,2077.0,2128.0,2077.0,3835.0,3189.0,3206.0,2787.0,4709.0,2809.0,2521.0,2528.0
Cap Spending USD Mil,-1267.0,-1921.0,-890.0,-1007.0,-2432.0,-1801.0,-1019.0,-1076.0,-1250.0,-1130.0,-1562.0
Free Cash Flow USD Mil,810.0,207.0,1187.0,2828.0,757.0,1405.0,1768.0,3633.0,1559.0,1391.0,966.0
Free Cash Flow Per Share * USD,0.34,0.42,0.02,0.94,0.97,0.54,0.74,2.18,1.12,0.74,
Working Capital USD Mil,2782.0,2567.0,3982.0,6873.0,6580.0,7739.0,7145.0,7914.0,5455.0,6297.0,
