Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,36.47,32.11,41.92,48.58,44.16,43.91,45.65,32.21,37.88,36.24,32.33
Accounts Receivable,23.74,24.41,21.25,22.13,23.94,23.44,22.84,19.57,20.07,20.37,22.58
Inventory,,,,,,,,,,,
Other Current Assets,7.36,5.3,5.96,6.06,6.07,6.47,6.4,5.82,2.58,3.69,3.79
Total Current Assets,67.57,61.83,69.13,76.77,74.17,73.82,74.89,57.6,60.53,60.3,58.69
Net PP&E,19.37,19.17,14.42,12.45,13.76,14.9,13.17,10.64,9.73,9.19,8.94
Intangibles,10.57,8.5,8.03,6.74,7.02,6.08,7.01,28.73,25.02,24.58,24.45
Other Long-Term Assets,2.49,10.5,8.42,4.04,5.05,5.2,4.93,3.02,4.72,5.93,7.91
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.97,1.68,1.64,1.64,1.31,1.67,1.38,1.24,1.27,1.23,1.28
Short-Term Debt,,,,,,,,5.97,3.11,0.57,0.69
Taxes Payable,,,,,0.5,0.45,0.3,0.2,0.13,0.07,0.16
Accrued Liabilities,12.14,13.03,16.19,16.82,15.93,14.69,13.9,10.38,12.3,12.92,13.42
Other Short-Term Liabilities,4.42,1.61,1.55,1.85,4.22,4.31,6.04,4.32,3.96,2.17,2.3
Total Current Liabilities,18.53,16.32,19.37,20.31,21.96,21.12,21.62,22.12,20.77,16.95,17.83
Long-Term Debt,,,,,,,,8.0,6.74,5.59,4.96
Other Long-Term Liabilities,1.6,0.9,1.15,1.48,6.27,4.44,3.64,3.83,1.47,2.24,1.91
Total Liabilities,20.13,17.22,20.52,21.79,28.23,25.56,25.25,33.95,28.99,24.78,24.7
Total Stockholders' Equity,79.87,82.78,79.48,78.21,71.77,74.44,74.75,66.05,71.01,75.22,75.3
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
