Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,10.0,12.0,14.0,13.0,14.0,14.0,22.0,21.0,23.0,18.0,17.0
Gross Margin %,35.6,33.2,28.5,28.6,30.0,29.5,30.3,36.6,23.0,31.7,30.0
Operating Income GBP Mil,1.0,1.0,-1.0,0.0,1.0,0.0,5.0,0.0,-4.0,-3.0,-2.0
Operating Margin %,7.0,6.6,-4.7,3.2,3.7,0.9,21.3,2.1,-17.2,-15.3,-9.7
Net Income GBP Mil,1.0,1.0,-1.0,0.0,0.0,0.0,4.0,1.0,-6.0,-13.0,-11.0
Earnings Per Share GBP,0.02,0.03,-0.03,0.01,0.01,,0.11,,-0.07,-0.12,-0.1
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,24.0,23.0,22.0,24.0,26.0,27.0,36.0,59.0,84.0,104.0,122.0
Book Value Per Share * GBP,,0.09,0.1,0.11,0.12,0.12,0.06,0.19,0.2,0.1,0.02
Operating Cash Flow GBP Mil,-0.0,2.0,-2.0,1.0,1.0,0.0,0.0,-1.0,-3.0,-4.0,-3.0
Cap Spending GBP Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Free Cash Flow GBP Mil,-0.0,1.0,-2.0,1.0,1.0,0.0,0.0,-1.0,-3.0,-4.0,-3.0
Free Cash Flow Per Share * GBP,,0.02,-0.08,0.03,0.03,0.01,-0.03,0.03,-0.07,-0.02,
Working Capital GBP Mil,1.0,-0.0,-0.0,0.0,0.0,0.0,2.0,2.0,-3.0,-4.0,
