Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,5.68,11.94,22.7,27.86,24.78,28.08,17.15,12.95,15.79,18.73,18.73
Accounts Receivable,5.81,4.86,4.74,5.25,5.91,4.87,5.87,5.78,5.37,6.06,6.06
Inventory,12.21,11.92,8.51,13.12,15.1,9.65,10.15,10.5,9.62,9.49,9.49
Other Current Assets,7.11,7.78,7.21,5.32,5.29,4.91,5.61,5.75,2.44,2.49,2.49
Total Current Assets,30.81,36.5,43.16,51.56,51.09,47.51,38.77,34.97,33.22,36.78,36.78
Net PP&E,52.12,45.48,37.84,32.0,32.35,27.79,32.73,32.85,31.64,34.25,34.25
Intangibles,5.87,5.87,5.22,5.89,6.6,9.88,10.51,16.84,15.6,13.79,13.79
Other Long-Term Assets,11.2,12.14,13.78,10.56,9.95,14.82,18.0,15.34,19.54,15.19,15.19
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.73,4.79,4.43,7.34,4.84,4.27,4.96,5.5,5.1,5.45,5.45
Short-Term Debt,12.58,,,,,,,,2.79,,
Taxes Payable,,2.29,1.57,1.48,1.68,1.09,2.53,2.08,2.57,1.58,1.58
Accrued Liabilities,11.11,11.53,13.09,11.3,10.2,32.41,9.32,9.68,8.83,8.9,8.9
Other Short-Term Liabilities,9.18,9.74,8.77,8.08,10.16,8.93,11.44,12.1,12.44,13.46,13.46
Total Current Liabilities,38.6,28.35,27.86,28.2,26.89,46.69,28.26,29.35,31.73,29.38,29.38
Long-Term Debt,9.69,9.85,8.6,7.47,6.69,11.28,19.05,18.86,22.35,27.38,27.38
Other Long-Term Liabilities,7.8,7.19,5.99,4.76,4.27,3.12,3.66,5.04,4.86,5.31,5.31
Total Liabilities,56.09,45.39,42.46,40.43,37.84,61.1,50.97,53.25,58.94,62.06,62.06
Total Stockholders' Equity,43.91,54.61,57.54,59.57,62.16,38.9,49.03,46.75,41.06,37.94,37.94
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
