Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,284.0,304.0,312.0,387.0,480.0,560.0,660.0,762.0,845.0,1080.0,1345.0
Gross Margin %,73.6,74.1,74.8,78.4,75.3,74.3,75.4,75.9,75.7,75.5,75.8
Operating Income USD Mil,34.0,16.0,-34.0,103.0,90.0,86.0,94.0,194.0,189.0,249.0,312.0
Operating Margin %,11.9,5.1,-10.9,26.5,18.8,15.3,14.3,25.4,22.3,23.1,23.2
Net Income USD Mil,36.0,80.0,-31.0,74.0,67.0,59.0,64.0,146.0,144.0,190.0,269.0
Earnings Per Share USD,0.5,1.18,-0.45,0.95,0.83,0.71,0.78,1.77,1.77,2.33,3.3
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,71.0,68.0,69.0,78.0,80.0,83.0,83.0,82.0,82.0,81.0,82.0
Book Value Per Share * USD,2.35,3.26,3.66,4.95,5.8,7.21,7.14,9.01,10.04,12.22,14.74
Operating Cash Flow USD Mil,53.0,40.0,74.0,130.0,130.0,134.0,186.0,227.0,238.0,248.0,357.0
Cap Spending USD Mil,-7.0,-14.0,-7.0,-18.0,-30.0,-38.0,-19.0,-24.0,-53.0,-71.0,-140.0
Free Cash Flow USD Mil,45.0,25.0,67.0,111.0,100.0,95.0,167.0,203.0,185.0,177.0,217.0
Free Cash Flow Per Share * USD,0.63,0.37,0.97,1.42,1.18,1.15,1.78,2.44,2.28,2.12,
Working Capital USD Mil,123.0,117.0,180.0,296.0,237.0,330.0,369.0,455.0,460.0,599.0,
